#Date;Inv;Psum;Pmax
31/07/15;0;449500;53390
30/07/15;0;358100;60080
29/07/15;0;248800;60040
28/07/15;0;337400;54870
27/07/15;0;415800;53580
26/07/15;0;332500;52660
25/07/15;0;340000;57120
24/07/15;0;279200;59260
23/07/15;0;346500;51800
22/07/15;0;318600;55510
21/07/15;0;409000;56810
20/07/15;0;321100;55640
19/07/15;0;418100;51530
18/07/15;0;426700;51370
17/07/15;0;321500;52010
16/07/15;0;347000;51820
15/07/15;0;425800;51130
14/07/15;0;434400;54070
13/07/15;0;323600;60140
12/07/15;0;418600;55230
11/07/15;0;444500;52570
10/07/15;0;460400;54300
09/07/15;0;386400;54190
08/07/15;0;209300;56000
07/07/15;0;421400;51240
06/07/15;0;420400;50940
05/07/15;0;423700;52470
04/07/15;0;433100;51380
03/07/15;0;259100;52520
02/07/15;0;390400;51820
01/07/15;0;425800;52940
30/06/15;0;455100;53890
29/06/15;0;333800;60160
28/06/15;0;465700;59440
27/06/15;0;350800;63260
26/06/15;0;462500;54300
25/06/15;0;462800;58130
24/06/15;0;489800;56440
23/06/15;0;327600;64690
22/06/15;0;329100;54250
21/06/15;0;417400;67550
20/06/15;0;321700;66390
19/06/15;0;364800;57590
18/06/15;0;361100;55890
17/06/15;0;389800;62760
16/06/15;0;261600;54090
15/06/15;0;231700;63230
14/06/15;0;160800;53560
13/06/15;0;273600;54000
12/06/15;0;344900;54430
11/06/15;0;334100;54200
10/06/15;0;334200;60420
09/06/15;0;366600;57740
08/06/15;0;267800;61160
07/06/15;0;387500;57510
06/06/15;0;251900;62070
05/06/15;0;387900;54530
04/06/15;0;364200;61760
03/06/15;0;351400;61590
02/06/15;0;471100;61540
01/06/15;0;362800;55680
31/05/15;0;243700;59700
30/05/15;0;434800;62470
29/05/15;0;454300;56100
28/05/15;0;472700;60330
27/05/15;0;495500;58800
26/05/15;0;177100;52260
25/05/15;0;325500;69090
24/05/15;0;255100;72050
23/05/15;0;153400;28550
22/05/15;0;161800;30300
21/05/15;0;103500;22250
20/05/15;0;34700;12480
19/05/15;0;202200;58470
18/05/15;0;404000;57710
17/05/15;0;443100;55310
16/05/15;0;399800;63400
15/05/15;0;69200;16710
14/05/15;0;423600;54650
13/05/15;0;327900;50840
12/05/15;0;371100;51470
11/05/15;0;435500;54360
10/05/15;0;450100;54160
09/05/15;0;284700;62020
08/05/15;0;338800;59900
07/05/15;0;450500;55580
06/05/15;0;375200;59940
05/05/15;0;371100;55810
04/05/15;0;133200;26790
03/05/15;0;105300;19580
02/05/15;0;385900;56630
01/05/15;0;145700;45310
30/04/15;0;225100;68440
29/04/15;0;436600;58230
28/04/15;0;257900;55610
27/04/15;0;113100;27020
26/04/15;0;305800;61310
25/04/15;0;228700;51550
24/04/15;0;418900;56560
23/04/15;0;316600;56260
22/04/15;0;435600;55020
21/04/15;0;436600;55780
20/04/15;0;420200;60170
19/04/15;0;448300;56680
18/04/15;0;318400;56800
17/04/15;0;64300;12430
16/04/15;0;320500;58650
15/04/15;0;410300;54290
14/04/15;0;329400;51620
13/04/15;0;405700;52700
12/04/15;0;393800;56060
11/04/15;0;389800;53170
10/04/15;0;381600;53270
09/04/15;0;411600;54820
08/04/15;0;409900;56470
07/04/15;0;428700;58340
06/04/15;0;405200;61260
05/04/15;0;214300;62920
04/04/15;0;262400;58550
03/04/15;0;420700;55800
02/04/15;0;405900;54870
01/04/15;0;426700;57420
31/03/15;0;322700;56830
30/03/15;0;260300;50300
29/03/15;0;229000;49770
28/03/15;0;396900;54030
27/03/15;0;295200;57060
26/03/15;0;108300;23010
25/03/15;0;121900;25670
24/03/15;0;166600;50780
23/03/15;0;139400;50970
22/03/15;0;191800;52280
21/03/15;0;91700;23750
20/03/15;0;253500;54920
19/03/15;0;348400;53510
18/03/15;0;341800;50030
17/03/15;0;170500;39790
16/03/15;0;50000;16350
15/03/15;0;164100;47070
14/03/15;0;177400;38630
13/03/15;0;340500;49400
12/03/15;0;343600;49800
11/03/15;0;281700;51730
10/03/15;0;319200;47840
09/03/15;0;180800;46060
08/03/15;0;321600;49830
07/03/15;0;320600;48210
06/03/15;0;333900;49640
05/03/15;0;295400;54870
04/03/15;0;224900;48430
03/03/15;0;325500;48190
02/03/15;0;41700;17250
01/03/15;0;194400;47990
28/02/15;0;225600;51280
27/02/15;0;130100;43180
26/02/15;0;146500;43380
25/02/15;0;154400;48650
24/02/15;0;22400;10330
23/02/15;0;246600;46760
22/02/15;0;39900;21010
21/02/15;0;82900;29770
20/02/15;0;281600;45100
19/02/15;0;281400;45030
18/02/15;0;279200;44110
17/02/15;0;269300;43120
16/02/15;0;243000;53230
15/02/15;0;59000;40800
14/02/15;0;43000;13260
13/02/15;0;204800;35820
12/02/15;0;183200;30410
11/02/15;0;129500;23860
10/02/15;0;59200;10560
09/02/15;0;15400;4290
08/02/15;0;2700;1150
05/02/15;0;3800;1950
04/02/15;0;183100;42490
03/02/15;0;84900;23500
02/02/15;0;193000;41710
01/02/15;0;80500;20630
31/01/15;0;3800;1260
29/01/15;0;40600;27090
28/01/15;0;211600;38870
27/01/15;0;105400;40530
26/01/15;0;205400;37580
25/01/15;0;132800;36620
24/01/15;0;197900;36670
23/01/15;0;124300;32120
22/01/15;0;27600;14730
21/01/15;0;37100;14000
20/01/15;0;172600;35960
19/01/15;0;121900;34340
18/01/15;0;93400;40040
17/01/15;0;30100;8620
16/01/15;0;18200;10660
15/01/15;0;82400;32080
14/01/15;0;151800;34290
13/01/15;0;168600;33050
12/01/15;0;174300;33400
11/01/15;0;81500;32760
10/01/15;0;103700;28200
09/01/15;0;115100;33900
08/01/15;0;133400;31830
07/01/15;0;157500;32360
06/01/15;0;164600;32580
05/01/15;0;166700;32990
04/01/15;0;161800;34090
03/01/15;0;133400;29630
02/01/15;0;98800;34280
01/01/15;0;151400;31700
31/12/14;0;129000;33990
30/12/14;0;56300;16290
29/12/14;0;78700;21220
28/12/14;0;7600;3830
27/12/14;0;11800;4110
26/12/14;0;143600;33210
25/12/14;0;142100;30840
24/12/14;0;90700;23210
23/12/14;0;143700;31130
22/12/14;0;98500;37880
21/12/14;0;147800;31930
20/12/14;0;148500;31840
19/12/14;0;145200;30880
18/12/14;0;131500;35240
17/12/14;0;92800;24460
16/12/14;0;16600;6350
15/12/14;0;17000;6150
14/12/14;0;41100;25470
13/12/14;0;60600;23250
12/12/14;0;125200;35630
11/12/14;0;154700;33830
10/12/14;0;123400;37920
09/12/14;0;116100;32150
08/12/14;0;155400;33900
07/12/14;0;63700;33500
06/12/14;0;35500;10250
05/12/14;0;50600;15350
04/12/14;0;50200;17780
03/12/14;0;65200;22180
02/12/14;0;58500;18830
01/12/14;0;10600;6910
30/11/14;0;29300;10740
29/11/14;0;131700;32070
28/11/14;0;22900;9050
27/11/14;0;37200;28160
26/11/14;0;37700;10730
25/11/14;0;77200;38440
24/11/14;0;110300;33290
