#Date;Inv;Psum;Pmax
31/07/15;0;59400;7650
31/07/15;1;123100;12400
31/07/15;2;76400;10146
31/07/15;3;110000;10000
30/07/15;0;51400;8399
30/07/15;1;106500;12400
30/07/15;2;66400;10845
30/07/15;3;105100;10000
29/07/15;0;36900;8801
29/07/15;1;76900;12400
29/07/15;2;48600;11181
29/07/15;3;83900;10000
28/07/15;0;40500;7880
28/07/15;1;85600;12400
28/07/15;2;54400;10001
28/07/15;3;110000;10000
27/07/15;0;50500;7838
27/07/15;1;106700;12400
27/07/15;2;67800;10285
27/07/15;3;110000;10000
26/07/15;0;48800;8070
26/07/15;1;100300;12400
26/07/15;2;0;0
26/07/15;3;110000;10000
25/07/15;0;48500;8287
25/07/15;1;100700;12400
25/07/15;2;63000;10903
25/07/15;3;110000;10000
24/07/15;0;42800;7568
24/07/15;1;89000;12400
24/07/15;2;55800;9676
24/07/15;3;109500;10000
23/07/15;0;49800;7769
23/07/15;1;99600;12400
23/07/15;2;64000;9784
23/07/15;3;110000;10000
22/07/15;0;55500;7610
22/07/15;1;113500;12400
22/07/15;2;71500;9719
22/07/15;3;110000;10000
21/07/15;0;54500;6947
21/07/15;1;111600;12400
21/07/15;2;69800;8936
21/07/15;3;110000;10000
20/07/15;0;48800;7109
20/07/15;1;99800;12400
20/07/15;2;0;0
20/07/15;3;110000;10000
19/07/15;0;53400;7022
19/07/15;1;111100;12400
19/07/15;2;0;0
19/07/15;3;109800;10000
18/07/15;0;56700;7387
18/07/15;1;115600;12400
18/07/15;2;72600;9581
18/07/15;3;110000;10000
17/07/15;0;45800;6996
17/07/15;1;93800;12400
17/07/15;2;58000;9130
17/07/15;3;0;10000
16/07/15;0;54000;7231
16/07/15;1;112400;12400
16/07/15;2;0;0
16/07/15;3;0;10000
15/07/15;0;56500;7136
15/07/15;1;117100;12400
15/07/15;2;73200;9086
15/07/15;3;110000;10000
14/07/15;0;59300;7168
14/07/15;1;122800;12400
14/07/15;2;76900;9142
14/07/15;3;110000;10000
13/07/15;0;49000;8278
13/07/15;1;101000;12400
13/07/15;2;0;0
13/07/15;3;110000;10000
12/07/15;0;60300;7319
12/07/15;1;124700;12400
12/07/15;2;77900;9323
12/07/15;3;109000;10000
11/07/15;0;61300;7425
11/07/15;1;126900;12400
11/07/15;2;79200;9485
11/07/15;3;110000;10000
10/07/15;0;65100;7504
10/07/15;1;135000;12400
10/07/15;2;0;0
10/07/15;3;110000;10000
09/07/15;0;46900;7590
09/07/15;1;98200;12400
09/07/15;2;62400;9847
09/07/15;3;110000;10000
08/07/15;0;46600;7149
08/07/15;1;96800;12400
08/07/15;2;0;0
08/07/15;3;110000;10000
07/07/15;0;52900;6789
07/07/15;1;109700;12400
07/07/15;2;0;0
07/07/15;3;110000;10000
06/07/15;0;58900;7078
06/07/15;1;122000;12400
06/07/15;2;76200;9022
06/07/15;3;110000;10000
05/07/15;0;53600;6982
05/07/15;1;110100;12400
05/07/15;2;68100;8943
05/07/15;3;110000;10000
04/07/15;0;57700;7166
04/07/15;1;118100;12400
04/07/15;2;73400;9166
04/07/15;3;110000;10000
03/07/15;0;38300;7672
03/07/15;1;77700;12400
03/07/15;2;47500;9856
03/07/15;3;110000;10000
02/07/15;0;62200;7295
02/07/15;1;128600;12400
02/07/15;2;80600;9368
02/07/15;3;110000;10000
01/07/15;0;54600;7732
01/07/15;1;114900;12400
01/07/15;2;73000;9708
01/07/15;3;110000;10000
30/06/15;0;61800;7530
30/06/15;1;127200;12400
30/06/15;2;79400;9595
30/06/15;3;110000;10000
29/06/15;0;37800;7380
29/06/15;1;79000;12400
29/06/15;2;49900;9808
29/06/15;3;110000;10000
28/06/15;0;64400;7601
28/06/15;1;132600;12400
28/06/15;2;83200;9881
28/06/15;3;110000;10000
27/06/15;0;44100;7941
27/06/15;1;91600;12400
27/06/15;2;57400;10254
27/06/15;3;109500;10000
26/06/15;0;64900;7766
26/06/15;1;134000;12400
26/06/15;2;0;0
26/06/15;3;108700;10000
25/06/15;0;59100;8483
25/06/15;1;129400;12400
25/06/15;2;0;0
25/06/15;3;110000;10000
24/06/15;0;68900;8192
24/06/15;1;136400;12400
24/06/15;2;89500;10764
24/06/15;3;110000;10000
23/06/15;0;39300;8603
23/06/15;1;81400;12400
23/06/15;2;0;0
23/06/15;3;81300;10000
22/06/15;0;47500;7818
22/06/15;1;98100;12400
22/06/15;2;61400;10127
22/06/15;3;102000;10000
21/06/15;0;55600;9332
21/06/15;1;114900;12400
21/06/15;2;72600;11973
21/06/15;3;110000;10000
20/06/15;0;49900;9142
20/06/15;1;103100;12400
20/06/15;2;64700;11482
20/06/15;3;102400;10000
19/06/15;0;37400;7709
19/06/15;1;77200;12400
19/06/15;2;48100;9713
19/06/15;3;76800;10000
18/06/15;0;50300;8334
18/06/15;1;104400;12400
18/06/15;2;0;0
18/06/15;3;110000;10000
17/06/15;0;55500;8438
17/06/15;1;116100;12400
17/06/15;2;73600;10972
17/06/15;3;110000;10000
16/06/15;0;36600;7903
16/06/15;1;75700;12400
16/06/15;2;0;0
16/06/15;3;73200;10000
15/06/15;0;35600;9289
15/06/15;1;68700;12400
15/06/15;2;45300;11689
15/06/15;3;66800;10000
14/06/15;0;17000;6852
14/06/15;1;35400;11615
14/06/15;2;22100;8773
14/06/15;3;34500;9938
13/06/15;0;38900;6303
13/06/15;1;80700;12166
13/06/15;2;50300;8538
13/06/15;3;82400;10000
12/06/15;0;50000;8310
12/06/15;1;100700;12400
12/06/15;2;64600;10771
12/06/15;3;110000;10000
11/06/15;0;55800;8605
11/06/15;1;114600;12400
11/06/15;2;71200;11060
11/06/15;3;110000;10000
10/06/15;0;46900;8191
10/06/15;1;96400;12400
10/06/15;2;59900;10958
10/06/15;3;110000;10000
09/06/15;0;60500;8858
09/06/15;1;123500;12400
09/06/15;2;77600;10858
09/06/15;3;110000;10000
08/06/15;0;46500;7552
08/06/15;1;96100;12400
