#Date;Inv;Psum;Pmax
31/07/15;0;82100;13561
31/07/15;1;104200;17074
31/07/15;2;79900;13720
31/07/15;3;5333;0
30/07/15;0;62400;14890
30/07/15;1;79400;18729
30/07/15;2;57700;15508
30/07/15;3;4057;0
29/07/15;0;50500;11192
29/07/15;1;63400;14007
29/07/15;2;51800;11160
29/07/15;3;3263;0
28/07/15;0;66500;13741
28/07/15;1;83700;17243
28/07/15;2;65600;14226
28/07/15;3;4312;0
27/07/15;0;74500;14619
27/07/15;1;93200;18158
27/07/15;2;75000;15114
27/07/15;3;4818;0
26/07/15;0;78300;14156
26/07/15;1;99400;17822
26/07/15;2;80300;14052
26/07/15;3;0;0
25/07/15;0;72300;14611
25/07/15;1;91300;18493
25/07/15;2;71100;14977
25/07/15;3;4687;0
24/07/15;0;70800;12645
24/07/15;1;90500;15900
24/07/15;2;73600;13083
24/07/15;3;0;0
23/07/15;0;89100;13401
23/07/15;1;114600;16784
23/07/15;2;84600;13736
23/07/15;3;0;0
22/07/15;0;75700;14068
22/07/15;1;96100;17692
22/07/15;2;71500;14501
22/07/15;3;4870;0
21/07/15;0;82000;11946
21/07/15;1;105100;15066
21/07/15;2;79200;12229
21/07/15;3;5392;0
20/07/15;0;74600;12535
20/07/15;1;95000;15785
20/07/15;2;70900;12782
20/07/15;3;4811;0
19/07/15;0;84100;13310
19/07/15;1;106900;16775
19/07/15;2;79200;13688
19/07/15;3;5487;0
18/07/15;0;94900;12868
18/07/15;1;121600;16237
18/07/15;2;90800;13292
18/07/15;3;6184;0
17/07/15;0;67800;13213
17/07/15;1;87600;16558
17/07/15;2;66600;13646
17/07/15;3;4447;0
16/07/15;0;76900;15203
16/07/15;1;97200;18966
16/07/15;2;75300;15724
16/07/15;3;5015;0
15/07/15;0;80600;12544
15/07/15;1;103000;15860
15/07/15;2;77200;12933
15/07/15;3;5268;0
14/07/15;0;95600;12345
14/07/15;1;122500;15574
14/07/15;2;92300;12655
14/07/15;3;6268;0
13/07/15;0;77600;14744
13/07/15;1;98700;18642
13/07/15;2;80100;15381
13/07/15;3;0;0
12/07/15;0;80900;12854
12/07/15;1;103500;16257
12/07/15;2;77500;13179
12/07/15;3;5237;0
11/07/15;0;101700;12624
11/07/15;1;130300;16005
11/07/15;2;98800;13097
11/07/15;3;6679;0
10/07/15;0;107500;13019
10/07/15;1;138000;16438
10/07/15;2;104400;13443
10/07/15;3;7025;0
09/07/15;0;92600;13443
09/07/15;1;117900;16990
09/07/15;2;89000;13783
09/07/15;3;6029;0
08/07/15;0;60600;12611
08/07/15;1;76500;15787
08/07/15;2;61000;13069
08/07/15;3;3940;0
07/07/15;0;85200;12260
07/07/15;1;107700;15500
07/07/15;2;82700;12537
07/07/15;3;5542;0
06/07/15;0;96400;12245
06/07/15;1;123600;15493
06/07/15;2;95200;12593
06/07/15;3;6317;0
05/07/15;0;88800;12071
05/07/15;1;114400;15255
05/07/15;2;86500;12529
05/07/15;3;5813;0
04/07/15;0;94500;12467
04/07/15;1;121300;15783
04/07/15;2;91700;12860
04/07/15;3;6145;0
03/07/15;0;56800;13343
03/07/15;1;72700;16925
03/07/15;2;54100;13665
03/07/15;3;3640;0
02/07/15;0;95600;12269
02/07/15;1;122600;15543
02/07/15;2;93500;12690
02/07/15;3;6260;0
01/07/15;0;96300;12884
01/07/15;1;123300;16319
01/07/15;2;97800;13344
01/07/15;3;6376;0
30/06/15;0;103500;12891
30/06/15;1;130300;16296
30/06/15;2;100400;13340
30/06/15;3;6713;0
29/06/15;0;53300;12656
29/06/15;1;67300;15718
29/06/15;2;53800;12861
29/06/15;3;3433;0
28/06/15;0;109700;13163
28/06/15;1;138600;16577
28/06/15;2;104600;13737
28/06/15;3;7014;0
27/06/15;0;75400;14782
27/06/15;1;95700;18391
27/06/15;2;77000;15567
27/06/15;3;4847;0
26/06/15;0;107300;13189
26/06/15;1;137400;16720
26/06/15;2;103700;13738
26/06/15;3;6982;0
25/06/15;0;92400;14494
25/06/15;1;117500;18248
25/06/15;2;90900;15029
25/06/15;3;5987;0
24/06/15;0;113300;14045
24/06/15;1;145200;17604
24/06/15;2;109200;14487
24/06/15;3;7323;0
23/06/15;0;62300;14370
23/06/15;1;79000;18083
23/06/15;2;65000;14669
23/06/15;3;4114;0
22/06/15;0;55600;13197
22/06/15;1;70400;16567
22/06/15;2;56300;13530
22/06/15;3;3626;0
21/06/15;0;91400;14785
21/06/15;1;114700;18333
21/06/15;2;87800;15492
21/06/15;3;5800;0
20/06/15;0;75900;15414
20/06/15;1;95400;18830
20/06/15;2;75800;15715
20/06/15;3;4931;0
19/06/15;0;81000;14924
19/06/15;1;102000;18595
19/06/15;2;78000;15363
19/06/15;3;5230;0
18/06/15;0;83600;13858
18/06/15;1;104900;17331
18/06/15;2;82000;14292
18/06/15;3;5287;0
17/06/15;0;95700;14192
17/06/15;1;121100;17714
17/06/15;2;95500;14756
17/06/15;3;6173;0
16/06/15;0;62900;16780
16/06/15;1;79700;18201
16/06/15;2;66400;15531
16/06/15;3;4090;0
15/06/15;0;40700;13334
15/06/15;1;51400;16139
15/06/15;2;43400;13317
15/06/15;3;2667;0
14/06/15;0;41600;14710
14/06/15;1;52600;18401
14/06/15;2;43800;15413
14/06/15;3;2754;0
13/06/15;0;67200;14726
13/06/15;1;83700;18573
13/06/15;2;67800;15181
13/06/15;3;4338;0
12/06/15;0;61900;12454
12/06/15;1;79300;15630
12/06/15;2;59300;12244
12/06/15;3;3999;0
11/06/15;0;75200;15840
11/06/15;1;96700;19189
11/06/15;2;73700;16246
11/06/15;3;4932;0
10/06/15;0;94000;14961
10/06/15;1;118500;18916
10/06/15;2;90100;15520
10/06/15;3;6057;0
09/06/15;0;66100;13296
09/06/15;1;84600;16740
09/06/15;2;62800;13742
09/06/15;3;4239;0
08/06/15;0;66200;10932
08/06/15;1;84000;13715
08/06/15;2;68700;11365
08/06/15;3;4286;0
07/06/15;0;102300;12974
07/06/15;1;129200;16376
07/06/15;2;99200;13358
07/06/15;3;6575;0
06/06/15;0;70000;12900
06/06/15;1;88800;16135
06/06/15;2;67500;13341
06/06/15;3;4486;0
05/06/15;0;92100;12211
05/06/15;1;117400;15340
05/06/15;2;89500;12536
05/06/15;3;5955;0
04/06/15;0;91600;15153
04/06/15;1;115700;18797
04/06/15;2;88100;15518
04/06/15;3;5879;0
03/06/15;0;98400;13743
03/06/15;1;125500;17373
03/06/15;2;95900;14213
03/06/15;3;6394;0
02/06/15;0;93900;12964
02/06/15;1;120400;16248
02/06/15;2;91300;13325
02/06/15;3;6124;0
01/06/15;0;82800;13144
01/06/15;1;106500;16368
01/06/15;2;81900;13886
01/06/15;3;5431;0
31/05/15;0;65300;15046
31/05/15;1;82300;18906
31/05/15;2;64300;15611
31/05/15;3;4207;0
30/05/15;0;91100;13241
30/05/15;1;114900;16536
30/05/15;2;89500;13613
30/05/15;3;5852;0
29/05/15;0;79200;15919
29/05/15;1;100200;19129
29/05/15;2;80500;16194
29/05/15;3;5232;0
28/05/15;0;109500;13551
28/05/15;1;139600;17099
28/05/15;2;105200;14008
28/05/15;3;7105;0
27/05/15;0;114400;14121
27/05/15;1;146000;17636
27/05/15;2;109800;14708
27/05/15;3;7372;0
26/05/15;0;65400;13214
26/05/15;1;82300;16502
26/05/15;2;67600;13496
26/05/15;3;4255;0
25/05/15;0;80900;14763
25/05/15;1;102800;18522
25/05/15;2;80800;15177
25/05/15;3;5211;0
24/05/15;0;103900;16050
24/05/15;1;132200;19177
24/05/15;2;102100;16494
24/05/15;3;6800;0
23/05/15;0;37200;7925
23/05/15;1;47400;9852
23/05/15;2;38800;8226
23/05/15;3;2458;0
22/05/15;0;30100;7981
22/05/15;1;37500;9953
22/05/15;2;32000;8093
22/05/15;3;1969;0
21/05/15;0;27500;15399
21/05/15;1;34400;18672
21/05/15;2;28800;13994
21/05/15;3;1819;0
20/05/15;0;14500;3200
20/05/15;1;17900;3949
20/05/15;2;14800;3108
20/05/15;3;1014;0
19/05/15;0;65900;14019
19/05/15;1;83000;17252
19/05/15;2;66100;14597
19/05/15;3;4197;0
18/05/15;0;73500;13486
18/05/15;1;93100;16990
18/05/15;2;69600;13970
18/05/15;3;4724;0
17/05/15;0;86200;13236
17/05/15;1;110100;16669
17/05/15;2;84800;13534
17/05/15;3;5678;0
16/05/15;0;77400;13417
16/05/15;1;99300;16741
16/05/15;2;70000;13486
16/05/15;3;4999;0
15/05/15;0;10200;2968
15/05/15;1;12800;3721
15/05/15;2;10700;3104
15/05/15;3;721;0
14/05/15;0;94900;13254
14/05/15;1;120900;16548
14/05/15;2;90600;13618
14/05/15;3;6120;0
13/05/15;0;77800;12151
13/05/15;1;98300;15153
13/05/15;2;78200;12290
13/05/15;3;4980;0
12/05/15;0;84400;12677
12/05/15;1;106900;15926
12/05/15;2;85900;12926
12/05/15;3;5464;0
11/05/15;0;90900;13296
11/05/15;1;116400;16749
11/05/15;2;86100;13567
11/05/15;3;5856;0
10/05/15;0;105200;13504
10/05/15;1;134800;16972
10/05/15;2;99300;13869
10/05/15;3;6783;0
09/05/15;0;67200;13183
09/05/15;1;85400;15924
09/05/15;2;64900;13352
09/05/15;3;4322;0
08/05/15;0;71900;13596
08/05/15;1;90300;16946
08/05/15;2;65700;13759
08/05/15;3;4640;0
07/05/15;0;91000;13390
07/05/15;1;115800;16880
07/05/15;2;84200;13544
07/05/15;3;5855;0
06/05/15;0;85300;14305
06/05/15;1;106100;17884
06/05/15;2;81300;14475
06/05/15;3;5483;0
05/05/15;0;83300;13359
05/05/15;1;105100;16612
05/05/15;2;79600;13483
05/05/15;3;5379;0
04/05/15;0;27000;9303
04/05/15;1;33800;11597
04/05/15;2;28500;9439
04/05/15;3;1775;0
03/05/15;0;9800;2277
03/05/15;1;12400;2867
03/05/15;2;10200;2449
03/05/15;3;684;0
02/05/15;0;87800;13432
02/05/15;1;110300;16889
02/05/15;2;81500;13634
