#Date;Inv;Psum;Pmax
31/07/15;0;404000;55520
30/07/15;0;311800;61320
29/07/15;0;207900;57620
28/07/15;0;266600;55290
27/07/15;0;349300;57180
26/07/15;0;274000;54410
25/07/15;0;283400;56840
24/07/15;0;178700;54270
23/07/15;0;253700;50010
22/07/15;0;323500;58960
21/07/15;0;272300;52610
20/07/15;0;268300;58400
19/07/15;0;360400;49880
18/07/15;0;370200;49670
17/07/15;0;291200;54410
16/07/15;0;289000;54370
15/07/15;0;383000;54170
14/07/15;0;276700;52170
13/07/15;0;249300;57480
12/07/15;0;352200;55550
11/07/15;0;394700;51740
10/07/15;0;411700;52620
09/07/15;0;282600;57360
08/07/15;0;186200;57280
07/07/15;0;369600;53550
06/07/15;0;366500;50460
05/07/15;0;370200;50030
04/07/15;0;380100;49130
03/07/15;0;222400;51010
02/07/15;0;341400;56620
01/07/15;0;352700;53070
30/06/15;0;376900;58550
29/06/15;0;257400;52650
28/06/15;0;405300;53350
27/06/15;0;245600;50860
26/06/15;0;396000;51430
25/06/15;0;365800;59300
24/06/15;0;410500;55580
23/06/15;0;256800;61200
22/06/15;0;270600;55710
21/06/15;0;264200;62880
20/06/15;0;309000;62910
19/06/15;0;307900;61760
18/06/15;0;310800;50200
17/06/15;0;306300;58790
16/06/15;0;187700;64110
15/06/15;0;123300;39900
14/06/15;0;123800;50330
13/06/15;0;198900;52150
12/06/15;0;301300;58140
11/06/15;0;317400;58160
10/06/15;0;354300;60080
09/06/15;0;313300;57700
08/06/15;0;253300;57560
07/06/15;0;333300;55890
06/06/15;0;208100;54970
05/06/15;0;296200;54040
04/06/15;0;166400;64050
03/06/15;0;291400;61510
02/06/15;0;291700;62220
01/06/15;0;334600;58870
31/05/15;0;228200;62020
30/05/15;0;342600;60530
29/05/15;0;411500;56460
28/05/15;0;413500;60220
27/05/15;0;394700;63100
26/05/15;0;210300;50350
25/05/15;0;263600;61660
24/05/15;0;198800;52740
23/05/15;0;112100;29390
22/05/15;0;122600;23300
21/05/15;0;87200;36340
20/05/15;0;11300;5650
19/05/15;0;183800;57060
18/05/15;0;406300;67870
17/05/15;0;435800;63750
16/05/15;0;257600;72070
15/05/15;0;57600;49380
14/05/15;0;345500;66640
13/05/15;0;303700;55860
12/05/15;0;376400;55560
11/05/15;0;442900;61250
10/05/15;0;449000;59440
09/05/15;0;238500;57690
08/05/15;0;316600;69510
07/05/15;0;460400;65600
06/05/15;0;323500;62820
05/05/15;0;360300;61010
04/05/15;0;137700;52950
