"Date","Pioggia (mm)","","Temp. aria (�C)","","Umid.relat. aria (%)","","Dir. Vento (�)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
00:00:00 04/11/2012,        11.4,      1,         6.7,      1,        98.0,      1,         169,      1,         0.5,      1,       901.0,      1,      1581.0,      1
00:00:00 05/11/2012,        19.6,      1,         5.9,      1,        96.1,      1,         139,      1,         1.1,      1,       894.6,      1,      2079.9,      1
00:00:00 06/11/2012,         0.0,      1,         2.4,      1,        84.6,      1,         117,      1,         0.7,      1,       905.7,      1,      5040.0,      1
00:00:00 07/11/2012,         0.0,      1,         2.2,      1,        73.7,      1,         121,      1,         0.7,      1,       915.7,      1,      4812.4,      1
00:00:00 08/11/2012,         0.0,      1,         3.5,      1,        81.0,      1,         111,      1,         0.5,      1,       914.7,      1,      4146.8,      1
00:00:00 09/11/2012,         0.0,      1,         4.3,      1,        79.8,      1,         117,      1,         0.7,      1,       910.2,      1,      4390.9,      1
00:00:00 10/11/2012,        10.2,      1,         4.3,      1,        96.3,    140,         151,      1,         0.6,      1,       907.7,      1,      1290.2,      1
00:00:00 11/11/2012,        49.8,      1,         5.5,      1,        98.0,    140,         165,      1,         0.7,      1,       904.9,      1,       583.3,      1
00:00:00 12/11/2012,         1.0,      1,         6.9,      1,        98.0,    140,          92,      1,         0.4,      1,       912.3,      1,      1705.6,      1
00:00:00 13/11/2012,         0.0,      1,         7.2,      1,        92.9,    140,          83,      1,         0.4,      1,       917.7,      1,      4232.4,      1
00:00:00 14/11/2012,         0.0,      1,         6.0,      1,        88.1,      1,          89,      1,         0.6,      1,       917.1,      1,      4226.3,      1
00:00:00 15/11/2012,         0.0,      1,         2.1,      1,        84.0,      1,          96,      1,         0.6,      1,       913.3,      1,      4460.4,      1
00:00:00 16/11/2012,         0.0,      1,         1.1,      1,        79.2,      1,          99,      1,         0.6,      1,       911.8,      1,      4084.0,      1
00:00:00 17/11/2012,         0.0,      1,         0.8,      1,        77.7,      1,          93,      1,         0.5,      1,       909.1,      1,      3967.0,      1
00:00:00 18/11/2012,         0.0,      1,         1.9,      1,        75.2,      1,          63,      1,         0.4,      1,       907.4,      1,      3068.2,      1
00:00:00 19/11/2012,         0.0,      1,         4.1,      1,        82.3,      1,          36,      1,         0.3,      1,       908.1,      1,      2077.3,      1
00:00:00 20/11/2012,         0.0,      1,         4.9,      1,        85.2,      1,          94,      1,         0.6,      1,       909.0,      1,      3716.5,      1
00:00:00 21/11/2012,         0.0,      1,         3.0,      1,        87.2,      1,          76,      1,         0.4,      1,       911.0,      1,      3767.3,      1
00:00:00 22/11/2012,         1.2,      1,         3.3,      1,        90.5,      1,          58,      1,         0.4,      1,       913.6,      1,      1620.6,      1
00:00:00 23/11/2012,         0.0,      1,         4.8,      1,        90.3,      1,          90,      1,         0.4,      1,       913.2,      1,      3872.5,      1
00:00:00 24/11/2012,         0.0,      1,         4.2,      1,        85.5,      1,         111,      1,         0.6,      1,       913.7,      1,      3484.9,      1
00:00:00 25/11/2012,         0.0,      1,         4.0,      1,        88.6,      1,          82,      1,         0.3,      1,       911.8,      1,      2673.7,      1
00:00:00 26/11/2012,         1.6,      1,         4.8,      1,        95.5,    140,         101,      1,         0.3,      1,       907.9,      1,       925.0,      1
00:00:00 27/11/2012,         5.6,      1,         5.6,      1,        98.0,    140,         199,      1,         0.7,      1,       900.9,      1,       952.5,      1
00:00:00 28/11/2012,        50.6,      1,         4.2,      1,        98.0,    140,         170,      1,         0.5,      1,       890.3,      1,       453.5,      1
00:00:00 29/11/2012,         7.0,      1,         1.2,      1,        98.0,    140,         151,      1,         0.6,      1,       886.3,      1,      2270.6,      1
00:00:00 30/11/2012,         0.0,      1,         0.5,      1,        94.0,    140,         106,      1,         0.3,      1,       893.6,      1,      2338.8,      1
00:00:00 01/12/2012,         0.2,      1,         0.2,      1,        95.5,      1,          31,      1,         0.1,      1,       900.8,      1,      2401.5,      1
00:00:00 02/12/2012,         2.0,      1,        -0.1,      1,        84.0,      1,          68,      1,         0.8,      1,       899.3,      1,      2272.6,      1
00:00:00 03/12/2012,         0.0,      1,        -3.0,      1,        72.9,      1,         115,      1,         1.0,      1,       904.2,      1,      3551.4,      1
00:00:00 04/12/2012,         0.0,      1,        -3.4,      1,        91.0,      1,         103,      1,         0.5,      1,       896.3,      1,      1310.0,      1
00:00:00 05/12/2012,         0.0,      1,        -3.0,      1,        79.7,      1,          89,      1,         1.1,      1,       894.9,      1,      2913.2,      1
00:00:00 06/12/2012,         0.0,      1,        -3.8,      1,        66.5,      1,         103,      1,         1.3,      1,       901.2,      1,      3616.7,      1
00:00:00 07/12/2012,         1.6,      1,        -6.4,      1,        78.4,      1,          94,      1,         0.6,      1,       901.2,      1,      2097.2,      1
00:00:00 08/12/2012,         0.0,      1,        -4.5,      1,        73.5,      1,         142,      1,         0.8,      1,       899.8,      1,      1205.2,      1
00:00:00 09/12/2012,         0.0,      1,        -5.7,      1,        65.7,      1,         100,      1,         1.1,      1,       908.2,      1,      3839.7,      1
00:00:00 10/12/2012,         0.0,      1,        -3.8,      1,        72.3,      1,         147,      1,         0.8,      1,       900.1,      1,      2826.2,      1
00:00:00 11/12/2012,         0.0,      1,        -5.4,      1,        65.8,      1,          91,      1,         1.3,      1,       905.4,      1,      2436.9,      1
00:00:00 12/12/2012,         0.0,      1,        -7.6,      1,        64.9,      1,         102,      1,         0.8,      1,       910.4,      1,      3227.9,      1
00:00:00 13/12/2012,         0.0,      1,        -7.5,      1,        67.5,      1,          82,      1,         0.3,      1,       911.0,      1,      2910.2,      1
00:00:00 14/12/2012,         1.8,      1,        -4.0,      1,        90.1,      1,          29,      1,         0.1,      1,       908.5,      1,       437.7,      1
00:00:00 15/12/2012,        12.2,      1,        -0.5,      1,        98.0,      1,          83,      1,         0.3,      1,       903.2,      1,       860.6,      1
00:00:00 16/12/2012,         0.0,      1,        -0.8,      1,        96.1,      1,          76,      1,         0.4,      1,       904.7,      1,      3431.3,      1
00:00:00 17/12/2012,         0.0,      1,        -1.6,      1,        95.4,      1,          81,      1,         0.4,      1,       902.1,      1,      3006.3,      1
00:00:00 18/12/2012,         0.0,      1,        -1.8,      1,        90.1,      1,          85,      1,         0.5,      1,       903.8,      1,      3605.4,      1
00:00:00 19/12/2012,         0.0,      1,        -3.1,      1,        79.3,      1,          98,      1,         0.8,      1,       911.2,      1,      3140.1,      1
00:00:00 20/12/2012,         0.0,      1,        -4.0,      1,        77.0,      1,          49,      1,         0.3,      1,       909.8,      1,      2678.5,      1
00:00:00 21/12/2012,         0.4,      1,        -2.5,      1,        92.4,      1,          50,      1,         0.3,      1,       903.8,      1,      1603.5,      1
00:00:00 22/12/2012,         0.0,      1,        -1.1,      1,        84.4,      1,          69,      1,         0.5,      1,       909.6,      1,      2692.1,      1
00:00:00 23/12/2012,         0.0,      1,        -0.2,      1,        83.5,      1,          82,      1,         0.6,      1,       908.8,      1,      2252.9,      1
00:00:00 24/12/2012,         0.0,      1,         1.1,      1,        88.8,      1,         132,      1,         0.6,      1,       911.2,      1,      2597.9,      1
00:00:00 25/12/2012,         0.0,      1,         1.2,      1,        96.3,      1,         117,      1,         0.3,      1,       909.7,      1,      1238.7,      1
00:00:00 26/12/2012,         3.0,      1,         1.6,      1,        98.0,      1,         142,      1,         0.6,      1,       906.7,      1,      1271.5,      1
00:00:00 27/12/2012,         0.0,      1,        -1.3,      1,        95.1,      1,          92,      1,         0.5,      1,       908.0,      1,      3400.9,      1
00:00:00 28/12/2012,         0.0,      1,         0.0,      1,        80.0,      1,         101,      1,         1.2,      1,       913.4,      1,      1947.6,      1
00:00:00 29/12/2012,         0.0,      1,        -1.2,      1,        70.7,      1,          67,      1,         0.4,      1,       917.4,      1,      2644.0,      1
00:00:00 30/12/2012,         0.0,      1,        -0.7,      1,        75.4,      1,          87,      1,         0.6,      1,       913.5,      1,      2909.1,      1
00:00:00 31/12/2012,         0.0,      1,        -0.6,      1,        69.6,      1,          72,      1,         0.4,      1,       915.2,      1,      3076.7,      1
00:00:00 01/01/2013,         0.0,      1,        -1.1,      1,        74.1,      1,          87,      1,         0.4,      1,       907.7,      1,      3020.9,      1
00:00:00 02/01/2013,         2.4,      1,        -0.7,      1,        95.5,      1,          33,      1,         0.3,      1,       912.2,      1,      2291.3,      1
00:00:00 03/01/2013,         0.0,      1,         0.0,      1,        89.1,      1,          82,      1,         0.6,      1,       922.3,      1,      4270.1,      1
00:00:00 04/01/2013,         0.0,      1,         4.6,      1,        75.3,      1,         162,      1,         1.1,      1,       919.3,      1,      2316.9,      1
00:00:00 05/01/2013,         0.2,      1,         8.4,      1,        55.3,      1,         135,      1,         2.4,      1,       913.5,      1,      1781.0,      1
00:00:00 06/01/2013,         0.0,      1,         8.4,      1,        49.7,      1,          90,      1,         2.1,      1,       911.7,      1,      2773.3,      1
00:00:00 07/01/2013,         0.0,      1,         6.0,      1,        49.5,      1,         139,      1,         1.2,      1,       912.0,      1,      3134.7,      1
00:00:00 08/01/2013,         0.0,      1,         0.7,      1,        71.7,      1,         118,      1,         0.6,      1,       914.0,      1,      3010.0,      1
00:00:00 09/01/2013,         0.0,      1,         0.6,      1,        81.7,      1,         148,      1,         0.9,      1,       911.0,      1,      2714.7,      1
00:00:00 10/01/2013,         0.0,      1,         0.4,      1,        91.2,      1,          70,      1,         0.3,      1,       903.1,      1,      2170.6,      1
00:00:00 11/01/2013,         0.0,      1,         0.2,      1,        69.1,      1,          88,      1,         1.2,      1,       900.2,      1,      3117.2,      1
00:00:00 12/01/2013,         0.0,      1,        -1.7,      1,        69.4,      1,         115,      1,         0.5,      1,       904.8,      1,      3188.7,      1
00:00:00 13/01/2013,         1.6,      1,        -2.2,      1,        91.4,      1,          29,      1,         0.2,      1,       902.3,      1,      2253.8,      1
00:00:00 14/01/2013,         7.6,      1,        -1.0,      1,        96.7,      1,          66,      1,         0.2,      1,       898.5,      1,      2255.8,      1
00:00:00 15/01/2013,         1.2,      1,        -2.0,      1,        96.3,      1,         110,      1,         0.3,      1,       896.6,      1,      2777.3,      1
00:00:00 16/01/2013,         4.8,      1,        -3.6,      1,        97.1,      1,         153,      1,         0.6,      1,       891.0,      1,       522.2,      1
00:00:00 17/01/2013,         0.0,      1,        -4.9,      1,        86.2,      1,         140,      1,         0.6,      1,       892.5,      1,      1966.3,      1
00:00:00 18/01/2013,         0.0,      1,        -5.6,      1,        83.2,      1,          68,      1,         0.7,      1,       893.9,      1,      4005.4,      1
00:00:00 19/01/2013,         0.8,      1,        -5.3,      1,        89.1,      1,          73,      1,         0.3,      1,       892.3,      1,      3011.8,      1
00:00:00 20/01/2013,         6.4,      1,        -1.6,      1,        98.0,      1,          40,      1,         0.1,      1,       890.9,      1,       537.8,      1
00:00:00 21/01/2013,         3.4,      1,         1.1,      1,        97.3,      1,          71,      1,         0.1,      1,       887.3,      1,      2862.3,      1
00:00:00 22/01/2013,         9.2,      1,        -0.1,      1,        96.8,      1,         113,      1,         0.4,      1,       892.7,      1,      2036.0,      1
00:00:00 23/01/2013,         0.0,      1,        -3.7,      1,        88.5,      1,          70,      1,         0.7,      1,       898.5,      1,      4181.6,      1
00:00:00 24/01/2013,         0.2,      1,        -3.5,      1,        89.4,      1,          62,      1,         0.5,      1,       894.7,      1,      3025.2,      1
00:00:00 25/01/2013,         0.0,      1,        -4.4,      1,        84.0,      1,          84,      1,         0.7,      1,       898.9,      1,      4483.7,      1
00:00:00 26/01/2013,         0.0,      1,        -6.2,      1,        81.6,      1,          93,      1,         0.8,      1,       901.7,      1,      4558.0,      1
00:00:00 27/01/2013,         0.0,      1,        -3.6,      1,        80.3,      1,          74,      1,         0.5,      1,       903.7,      1,      3967.0,      1
00:00:00 28/01/2013,         0.0,      1,        -1.2,      1,        89.7,      1,          72,      1,         0.6,      1,       905.3,      1,      2022.4,      1
00:00:00 29/01/2013,         0.0,      1,        -2.1,      1,        77.3,      1,          83,      1,         0.7,      1,       911.9,      1,      4321.3,      1
00:00:00 30/01/2013,         0.0,      1,         1.0,      1,        89.0,      1,          87,      1,         0.6,      1,       909.0,      1,      3927.0,      1
00:00:00 31/01/2013,         0.0,      1,         1.8,      1,        72.3,      1,          91,      1,         1.0,      1,       909.6,      1,      5280.1,      1
00:00:00 01/02/2013,         0.0,      1,         0.6,      1,        71.3,      1,         132,      1,         0.9,      1,       900.7,      1,      4004.9,      1
00:00:00 02/02/2013,         4.0,      1,         0.2,      1,        80.1,      1,         137,      1,         1.1,      1,       887.6,      1,      1081.7,      1
00:00:00 03/02/2013,         0.0,      1,        -0.6,      1,        43.7,      1,         125,      1,         2.3,      1,       902.1,      1,      5240.6,      1
00:00:00 04/02/2013,         0.0,      1,        -0.9,      1,        65.8,      1,         115,      1,         0.7,      1,       906.1,      1,      4921.3,      1
00:00:00 05/02/2013,         0.0,      1,        -1.8,      1,        81.8,      1,         151,      1,         0.7,      1,       900.4,      1,      3900.8,      1
00:00:00 06/02/2013,         2.0,      1,        -1.3,      1,        76.6,      1,         147,      1,         1.2,      1,       889.5,      1,      5218.9,      1
00:00:00 07/02/2013,         0.0,      1,        -3.5,      1,        58.2,      1,          84,      1,         1.8,      1,       895.8,      1,      4666.5,      1
00:00:00 08/02/2013,         0.0,      1,        -5.1,      1,        51.4,      1,          85,      1,         1.6,      1,       900.0,      1,      4941.1,      1
00:00:00 09/02/2013,         0.0,      1,        -6.6,      1,        52.8,      1,         111,      1,         1.4,      1,       902.8,      1,      4973.9,      1
00:00:00 10/02/2013,         0.0,      1,        -8.5,      1,        50.9,      1,         113,      1,         1.2,      1,       903.0,      1,      5636.7,      1
00:00:00 11/02/2013,         9.2,      1,        -7.7,      1,        75.4,      1,          79,      1,         0.4,      1,       897.6,      1,      2179.2,      1
00:00:00 12/02/2013,         4.4,      1,        -2.9,      1,        94.1,      1,          92,      1,         0.5,      1,       894.1,      1,      2762.2,      1
00:00:00 13/02/2013,         0.0,      1,        -3.6,      1,        76.3,      1,         121,      1,         0.8,      1,       902.7,      1,      5916.5,      1
00:00:00 14/02/2013,         0.0,      1,        -2.7,      1,        79.0,      1,         109,      1,         0.7,      1,       907.4,      1,      5880.6,      1
00:00:00 15/02/2013,         0.0,      1,        -0.9,      1,        79.4,      1,         109,      1,         0.6,      1,       905.7,      1,      5004.9,      1
00:00:00 16/02/2013,         0.0,      1,        -0.3,      1,        69.1,      1,         128,      1,         0.9,      1,       909.5,      1,      5533.6,      1
00:00:00 17/02/2013,         0.0,    140,        -1.8,      1,        81.7,      1,          82,      1,         0.5,      1,       908.9,      1,      4142.7,      1
00:00:00 18/02/2013,         0.0,    140,        -1.8,      1,        69.1,      1,         113,      1,         0.9,      1,       906.9,      1,      7092.2,      1
00:00:00 19/02/2013,         0.0,      1,        -3.0,      1,        66.8,      1,         120,      1,         0.9,      1,       904.4,      1,      6244.3,      1
00:00:00 20/02/2013,         0.0,      1,        -1.2,      1,        69.2,      1,         174,      1,         1.1,      1,       902.2,      1,      5855.4,      1
00:00:00 21/02/2013,         2.2,      1,        -2.2,      1,        86.9,      1,         184,      1,         0.8,      1,       899.9,      1,      4554.2,      1
00:00:00 22/02/2013,         0.2,    140,        -3.5,      1,        88.4,      1,         224,      1,         1.0,      1,       894.0,      1,      5215.6,      1
00:00:00 23/02/2013,         2.2,      1,        -4.0,      1,        80.9,      1,         119,      1,         0.4,      1,       893.1,      1,      4720.0,      1
00:00:00 24/02/2013,         5.4,      1,        -2.0,      1,        94.1,      1,         158,      1,         0.6,      1,       895.3,      1,      2963.0,      1
00:00:00 25/02/2013,         0.4,      1,        -4.0,      1,        88.9,      1,         129,      1,         0.6,      1,       906.5,      1,      3210.9,      1
00:00:00 26/02/2013,         0.0,      1,        -2.3,      1,        77.7,      1,          76,      1,         0.5,      1,       910.8,      1,      6613.3,      1
00:00:00 27/02/2013,         0.0,      1,         1.7,      1,        86.5,      1,         113,      1,         0.5,      1,       911.6,      1,      5065.5,      1
00:00:00 28/02/2013,         0.0,      1,         2.7,      1,        87.4,      1,          83,      1,         0.3,      1,       912.8,      1,      3618.1,      1
00:00:00 01/03/2013,         0.0,      1,         2.6,      1,        75.5,      1,         115,      1,         0.8,      1,       908.6,      1,      7930.7,      1
00:00:00 02/03/2013,         0.0,      1,         2.0,      1,        67.7,      1,         125,      1,         0.9,      1,       908.0,      1,      7865.5,      1
00:00:00 03/03/2013,         0.0,      1,         2.8,      1,        60.7,      1,         110,      1,         1.0,      1,       907.9,      1,      8138.8,      1
00:00:00 04/03/2013,         0.0,      1,         3.0,      1,        55.0,      1,         124,      1,         1.1,      1,       910.7,      1,      8216.8,      1
00:00:00 05/03/2013,         0.0,      1,         2.2,      1,        59.2,      1,         137,      1,         0.7,      1,       911.4,      1,      6305.2,      1
00:00:00 06/03/2013,         0.2,      1,         2.2,      1,        81.8,      1,         124,      1,         0.5,      1,       904.3,      1,      4915.0,      1
00:00:00 07/03/2013,         0.8,      1,         4.1,      1,        92.0,      1,         120,      1,         0.5,      1,       898.0,      1,      4730.7,      1
00:00:00 08/03/2013,         1.8,      1,         4.9,      1,        93.4,      1,         105,      1,         0.5,      1,       896.5,      1,      5023.9,      1
00:00:00 09/03/2013,         3.0,    140,         4.3,      1,        97.7,      1,         100,      1,         0.6,      1,       895.3,      1,      3657.3,      1
00:00:00 10/03/2013,         0.2,    140,         4.8,      1,        88.0,      1,         158,      1,         1.0,      1,       892.3,      1,      8329.1,      1
00:00:00 11/03/2013,         0.0,      1,         4.0,      1,        85.5,      1,         131,      1,         0.8,      1,       891.6,      1,      5877.7,      1
00:00:00 12/03/2013,         0.0,      1,         3.6,      1,        85.9,      1,         128,      1,         0.9,      1,       890.0,      1,      6707.3,      1
00:00:00 13/03/2013,         3.6,      1,         3.0,      1,        88.6,      1,         151,      1,         0.7,      1,       887.8,      1,      4256.6,      1
00:00:00 14/03/2013,         1.6,      1,        -0.2,      1,        59.0,      1,         138,      1,         2.3,      1,       888.3,      1,     10879.8,      1
00:00:00 15/03/2013,         0.0,      1,        -3.1,      1,        38.3,      1,         134,      1,         2.2,      1,       897.8,      1,      9685.0,      1
00:00:00 16/03/2013,         0.0,      1,        -2.8,      1,        50.9,      1,         170,      1,         1.8,      1,       906.6,      1,      9009.5,      1
00:00:00 17/03/2013,         0.4,      1,        -1.5,      1,        77.5,    140,         180,      1,         1.3,      1,       903.7,      1,      4912.2,      1
00:00:00 18/03/2013,        24.2,    140,        -0.9,      1,        98.0,    140,          85,      1,         0.3,      1,       888.6,      1,      1527.8,      1
00:00:00 19/03/2013,         0.0,      1,         1.1,      1,        83.0,    140,          91,      1,         0.3,      1,       892.3,      1,     10014.5,      1
00:00:00 20/03/2013,         3.0,      1,         0.8,      1,        81.0,      1,         159,      1,         1.0,      1,       898.4,      1,      7297.3,      1
00:00:00 21/03/2013,         0.0,      1,         2.4,      1,        62.8,      1,         102,      1,         1.8,      1,       902.4,      1,     10036.6,      1
00:00:00 22/03/2013,         0.0,      1,         2.9,      1,        53.3,      1,         131,      1,         1.5,      1,       902.9,      1,      9660.8,      1
00:00:00 23/03/2013,         0.0,      1,         3.3,      1,        71.4,      1,         144,      1,         1.1,      1,       902.4,      1,      7707.2,      1
00:00:00 24/03/2013,         1.6,    140,         2.5,      1,        94.1,      1,         132,      1,         0.6,      1,       899.5,      1,      3133.6,      1
00:00:00 25/03/2013,         1.8,    140,         2.1,      1,        95.8,      1,         143,      1,         1.0,      1,       892.6,      1,      5250.3,      1
00:00:00 26/03/2013,         2.0,    140,        -0.3,      1,        97.6,      1,         254,      1,         1.4,      1,       892.3,      1,      6659.8,      1
00:00:00 27/03/2013,         0.0,      1,        -0.2,      1,        92.5,      1,         242,      1,         1.3,      1,       897.2,      1,      6655.6,      1
00:00:00 28/03/2013,         9.0,      1,         0.7,      1,        90.3,      1,         126,    140,         0.7,      1,       901.9,      1,      4534.3,      1
00:00:00 29/03/2013,         0.0,      1,         2.3,      1,        93.4,      1,         118,    140,         0.4,      1,       896.9,      1,      6097.9,      1
00:00:00 30/03/2013,        17.8,    140,         2.5,      1,        97.3,      1,         137,      1,         0.5,      1,       893.0,      1,      4675.1,      1
00:00:00 31/03/2013,         1.6,    140,         3.7,      1,        77.4,      1,         147,      1,         1.5,      1,       890.6,      1,      8390.9,      1
00:00:00 01/04/2013,         0.0,      1,         2.6,      1,        70.2,      1,         178,      1,         1.4,      1,       895.8,      1,     11019.0,      1
00:00:00 02/04/2013,         0.0,      1,         5.1,      1,        74.2,      1,         173,      1,         0.9,      1,       893.2,      1,      8570.1,      1
00:00:00 03/04/2013,         0.0,      1,         5.7,      1,        72.5,      1,         160,      1,         1.2,      1,       895.6,      1,      8389.7,      1
00:00:00 04/04/2013,         0.0,      1,         5.4,      1,        77.6,      1,         194,      1,         1.3,      1,       898.2,      1,      7080.3,      1
00:00:00 05/04/2013,         6.2,    140,         4.2,      1,        93.7,      1,         148,      1,         0.6,      1,       894.1,      1,      4135.6,      1
00:00:00 06/04/2013,         0.2,      1,         5.8,      1,        87.4,      1,         158,      1,         1.1,      1,       900.4,      1,      8432.4,      1
00:00:00 07/04/2013,         0.0,      1,         5.5,      1,        82.9,      1,         175,      1,         1.2,      1,       901.9,      1,      6510.7,      1
00:00:00 08/04/2013,         1.2,      1,         2.2,      1,        93.6,      1,         219,      1,         1.2,      1,       899.8,      1,      6516.8,      1
00:00:00 09/04/2013,         0.0,      1,         4.1,      1,        84.0,      1,         209,      1,         1.3,      1,       898.7,      1,      9168.5,      1
00:00:00 10/04/2013,         0.0,      1,         6.3,      1,        68.1,      1,         174,      1,         1.3,      1,       901.5,      1,     10502.1,      1
00:00:00 11/04/2013,         0.4,      1,         5.9,      1,        78.6,      1,         163,      1,         1.4,      1,       904.5,      1,      7549.3,      1
00:00:00 12/04/2013,         3.0,      1,         6.8,      1,        92.5,      1,         162,      1,         0.7,      1,       900.9,      1,      3970.3,      1
00:00:00 13/04/2013,         0.0,      1,         8.6,      1,        62.9,      1,         162,      1,         1.4,      1,       909.6,      1,     11720.8,      1
00:00:00 14/04/2013,         0.0,      1,         9.7,      1,        63.9,      1,         153,      1,         1.3,      1,       917.1,      1,     11581.4,      1
00:00:00 15/04/2013,         0.0,      1,        11.6,      1,        69.0,      1,         153,      1,         1.5,      1,       913.8,      1,     12186.6,      1
00:00:00 16/04/2013,         0.0,      1,        12.2,      1,        74.8,      1,         128,      1,         1.3,      1,       913.1,      1,      9578.0,      1
00:00:00 17/04/2013,         0.0,      1,        12.9,      1,        68.9,      1,         136,      1,         1.0,      1,       914.5,      1,     10901.1,      1
00:00:00 18/04/2013,         0.0,      1,        13.9,      1,        63.9,      1,         145,      1,         1.2,      1,       911.6,      1,     12336.5,      1
00:00:00 19/04/2013,         2.8,      1,        13.2,      1,        71.6,      1,         145,      1,         0.9,      1,       907.1,      1,      8511.0,      1
