"Date","Pioggia (mm)","","Temp. aria (�C)","","Umid.relat. aria (%)","","Dir. Vento (�)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
00:00:00 01/10/2012,        16.6,      1,        12.7,      1,        95.5,      1,          98,      1,         0.5,      1,       909.3,      1,      3367.7,      1
00:00:00 02/10/2012,         0.0,      1,        13.5,      1,        88.0,      1,         126,      1,         0.6,      1,       909.3,      1,      7887.8,      1
00:00:00 03/10/2012,         0.0,      1,        13.5,      1,        83.2,      1,         148,      1,         0.8,      1,       910.2,      1,      7608.0,      1
00:00:00 04/10/2012,         0.0,      1,        12.1,      1,        85.1,      1,         157,      1,         0.7,      1,       909.4,      1,      6027.2,      1
00:00:00 05/10/2012,         0.0,      1,        12.3,      1,        83.0,      1,         111,      1,         0.8,      1,       912.1,      1,      7924.2,      1
00:00:00 06/10/2012,         0.0,      1,        13.4,      1,        82.1,      1,         120,      1,         0.8,      1,       911.6,      1,      7360.3,      1
00:00:00 07/10/2012,         0.0,      1,        13.6,      1,        81.9,      1,         155,      1,         1.1,      1,       907.2,      1,      6405.0,      1
00:00:00 08/10/2012,         0.0,      1,        10.4,      1,        75.6,      1,         110,      1,         1.0,      1,       909.5,      1,      6753.4,      1
00:00:00 09/10/2012,         1.6,      1,        11.8,      1,        89.2,      1,         153,      1,         0.6,      1,       904.2,      1,      5668.7,      1
00:00:00 10/10/2012,         3.2,      1,        11.1,      1,        91.4,      1,         149,      1,         0.9,      1,       903.8,      1,      5535.5,      1
00:00:00 11/10/2012,         0.0,      1,         9.6,      1,        90.3,      1,         136,      1,         0.7,      1,       904.4,      1,      5059.8,      1
00:00:00 12/10/2012,         0.6,      1,        10.7,      1,        87.2,      1,         160,      1,         0.6,      1,       903.5,      1,      4482.7,      1
00:00:00 13/10/2012,         0.4,      1,         9.6,      1,        91.1,      1,         116,      1,         0.6,      1,       905.2,      1,      2735.2,      1
00:00:00 14/10/2012,         0.0,      1,         8.0,      1,        89.0,      1,         164,      1,         0.8,      1,       900.4,      1,      3402.2,      1
00:00:00 15/10/2012,        46.2,      1,         5.8,      1,        97.9,      1,         142,      1,         0.6,      1,       898.3,      1,       791.3,      1
00:00:00 16/10/2012,         3.8,      1,         4.6,      1,        91.1,      1,         126,      1,         0.8,      1,       903.9,      1,      5286.0,      1
00:00:00 17/10/2012,         0.0,      1,         6.2,      1,        87.3,      1,         106,      1,         0.5,      1,       913.5,      1,      4821.0,      1
00:00:00 18/10/2012,         0.0,      1,         9.6,      1,        86.6,      1,         103,      1,         0.5,      1,       914.5,      1,      6139.4,      1
00:00:00 19/10/2012,         0.0,      1,         8.5,      1,        81.9,      1,         114,      1,         0.6,      1,       914.9,      1,      6657.6,      1
00:00:00 20/10/2012,         0.0,      1,         8.4,      1,        78.2,      1,          99,      1,         0.6,      1,       913.7,      1,      6805.7,      1
00:00:00 21/10/2012,         0.0,      1,        10.0,      1,        76.1,      1,         111,      1,         0.7,      1,       911.6,      1,      6677.2,      1
00:00:00 22/10/2012,         0.0,      1,        11.5,      1,        71.8,      1,         115,      1,         0.7,      1,       911.8,      1,      6236.7,      1
00:00:00 23/10/2012,         0.0,      1,        11.0,      1,        76.0,      1,          96,      1,         0.5,      1,       912.3,      1,      6234.3,      1
00:00:00 24/10/2012,         0.0,      1,         9.5,      1,        77.6,      1,          99,      1,         0.6,      1,       909.4,      1,      6095.1,      1
00:00:00 25/10/2012,         0.0,      1,         8.5,      1,        82.0,      1,         114,      1,         0.6,      1,       905.8,      1,      5816.5,      1
00:00:00 26/10/2012,         3.2,      1,         6.7,      1,        95.8,      1,         106,      1,         0.2,      1,       899.6,      1,      1717.4,      1
00:00:00 27/10/2012,        12.0,      1,         7.8,      1,        98.0,      1,         200,      1,         0.7,      1,       883.8,      1,      2178.3,      1
00:00:00 28/10/2012,        20.4,      1,         0.0,      1,        97.1,      1,         150,      1,         0.4,      1,       892.0,      1,       504.4,      1
00:00:00 29/10/2012,         0.4,      1,        -0.7,      1,        82.5,      1,         109,      1,         0.8,      1,       900.7,      1,      5697.4,      1
00:00:00 30/10/2012,         0.0,      1,        -2.3,      1,        85.3,      1,          71,      1,         0.4,      1,       903.0,      1,      6952.6,      1
00:00:00 31/10/2012,        14.2,      1,         0.3,      1,        91.3,      1,          61,      1,         0.4,      1,       899.9,      1,      3015.8,      1
00:00:00 01/11/2012,        14.8,      1,         2.9,      1,        98.0,      1,          58,      1,         0.3,      1,       889.2,      1,      2188.1,      1
00:00:00 02/11/2012,         1.0,      1,         3.9,      1,        93.7,      1,         122,      1,         0.6,      1,       899.3,      1,      4173.7,      1
00:00:00 03/11/2012,         0.4,      1,         3.7,      1,        93.9,      1,         124,      1,         0.6,      1,       905.7,      1,      2857.0,      1
