#Date;Inv;Psum;Pmax
31/07/15;0;60554;9154
31/07/15;1;60680;9567
31/07/15;2;53937;8875
31/07/15;3;48121;8471
31/07/15;4;5451;0
30/07/15;0;52466;10114
30/07/15;1;55516;10475
30/07/15;2;38932;8449
30/07/15;3;34539;8078
30/07/15;4;4012;0
29/07/15;0;37036;8355
29/07/15;1;37310;8519
29/07/15;2;35215;6875
29/07/15;3;32780;6891
29/07/15;4;3291;0
28/07/15;0;47966;9505
28/07/15;1;47769;9374
28/07/15;2;46506;8996
28/07/15;3;40754;8635
28/07/15;4;4402;0
27/07/15;0;50905;9768
27/07/15;1;49759;10126
27/07/15;2;50458;9138
27/07/15;3;46511;8804
27/07/15;4;4950;0
26/07/15;0;63075;10500
26/07/15;1;65829;10774
26/07/15;2;50690;8569
26/07/15;3;47563;8108
26/07/15;4;5058;0
25/07/15;0;51620;10292
25/07/15;1;51196;10699
25/07/15;2;48904;9608
25/07/15;3;44610;9092
25/07/15;4;4813;0
24/07/15;0;49571;9094
24/07/15;1;48786;9185
24/07/15;2;50092;8942
24/07/15;3;47023;8893
24/07/15;4;4730;0
23/07/15;0;66798;8733
23/07/15;1;68105;8954
23/07/15;2;58532;9329
23/07/15;3;51399;8978
23/07/15;4;5824;0
22/07/15;0;58128;9552
22/07/15;1;59870;9525
22/07/15;2;49727;9700
22/07/15;3;44135;9411
22/07/15;4;4909;0
21/07/15;0;63453;8473
21/07/15;1;65185;8718
21/07/15;2;52866;7985
21/07/15;3;48759;7728
21/07/15;4;5434;0
20/07/15;0;60530;8589
20/07/15;1;63506;8784
20/07/15;2;47097;8302
20/07/15;3;43103;8074
20/07/15;4;4835;0
19/07/15;0;62971;8705
19/07/15;1;63731;8686
19/07/15;2;57131;8628
19/07/15;3;50724;8256
19/07/15;4;5590;0
18/07/15;0;71504;8902
18/07/15;1;72977;9099
18/07/15;2;62792;8440
18/07/15;3;56720;8215
18/07/15;4;6224;0
17/07/15;0;55498;8350
17/07/15;1;57934;8623
17/07/15;2;42825;9427
17/07/15;3;40122;9250
17/07/15;4;4493;0
16/07/15;0;50748;10386
16/07/15;1;49069;10268
16/07/15;2;54578;9947
16/07/15;3;48622;9595
16/07/15;4;5048;0
15/07/15;0;61869;8651
15/07/15;1;63432;8693
15/07/15;2;53264;8165
15/07/15;3;48098;8048
15/07/15;4;5307;0
14/07/15;0;69694;8777
14/07/15;1;70041;8954
14/07/15;2;64408;8528
14/07/15;3;58620;8294
14/07/15;4;6309;0
13/07/15;0;58645;9871
13/07/15;1;59654;9898
13/07/15;2;53055;9177
13/07/15;3;50288;8736
13/07/15;4;5116;0
12/07/15;0;63487;8755
12/07/15;1;65897;8967
12/07/15;2;52294;8442
12/07/15;3;45957;8126
12/07/15;4;5230;0
11/07/15;0;74919;9040
11/07/15;1;75646;9243
