#Date;Inv;Psum;Pmax
24/05/15;0;7460;1270
24/05/15;1;7210;1228
24/05/15;2;4550;762
23/05/15;0;2780;757
23/05/15;1;2630;557
23/05/15;2;1700;359
22/05/15;0;2100;1512
22/05/15;1;1990;491
22/05/15;2;1260;317
21/05/15;0;2180;858
21/05/15;1;2090;844
21/05/15;2;1340;537
20/05/15;0;1750;1663
20/05/15;1;1640;1426
20/05/15;2;1060;371
19/05/15;0;5630;1171
19/05/15;1;5410;1137
19/05/15;2;3420;708
18/05/15;0;8860;1145
18/05/15;1;8530;1105
18/05/15;2;5340;691
17/05/15;0;7640;1106
17/05/15;1;7330;1065
17/05/15;2;4630;666
16/05/15;0;6770;1256
16/05/15;1;6500;1210
16/05/15;2;4090;743
15/05/15;0;500;756
15/05/15;1;460;1584
15/05/15;2;250;130
14/05/15;0;7900;1360
14/05/15;1;7570;998
14/05/15;2;4760;625
13/05/15;0;5980;953
13/05/15;1;5700;922
13/05/15;2;3610;582
12/05/15;0;6680;1209
12/05/15;1;6410;996
12/05/15;2;4100;643
11/05/15;0;7330;1034
11/05/15;1;7040;1003
11/05/15;2;4510;639
10/05/15;0;8170;1049
10/05/15;1;7850;1021
10/05/15;2;4960;643
09/05/15;0;5180;1103
09/05/15;1;4950;1040
09/05/15;2;3130;669
08/05/15;0;6530;1209
08/05/15;1;6240;1088
08/05/15;2;3960;699
07/05/15;0;7240;1210
07/05/15;1;6980;1057
07/05/15;2;4390;662
06/05/15;0;6660;1127
06/05/15;1;6360;1062
06/05/15;2;4050;679
05/05/15;0;6380;1058
05/05/15;1;6140;1020
05/05/15;2;3950;656
04/05/15;0;2160;1361
04/05/15;1;2040;708
04/05/15;2;1310;450
03/05/15;0;460;1210
03/05/15;1;420;792
03/05/15;2;190;100
02/05/15;0;6830;1045
02/05/15;1;6560;1018
02/05/15;2;4210;638
01/05/15;0;1910;1663
01/05/15;1;1800;511
01/05/15;2;1170;324
30/04/15;0;3570;1058
30/04/15;1;3390;981
30/04/15;2;2160;610
29/04/15;0;7270;1199
29/04/15;1;6970;1155
29/04/15;2;4450;723
28/04/15;0;6240;1107
28/04/15;1;5960;1059
28/04/15;2;3800;658
27/04/15;0;1150;456
27/04/15;1;1080;635
27/04/15;2;670;187
26/04/15;0;2840;1361
26/04/15;1;2680;856
26/04/15;2;1740;544
25/04/15;0;3510;613
25/04/15;1;3330;593
25/04/15;2;2170;382
24/04/15;0;7140;1000
24/04/15;1;6870;967
24/04/15;2;4350;610
23/04/15;0;6440;1363
23/04/15;1;6200;971
23/04/15;2;3960;611
22/04/15;0;7380;986
22/04/15;1;7120;1900
22/04/15;2;4500;608
21/04/15;0;7440;1005
21/04/15;1;7200;1425
21/04/15;2;4580;624
20/04/15;0;7390;997
20/04/15;1;7150;1267
20/04/15;2;4530;610
19/04/15;0;7340;1017
19/04/15;1;7090;1268
19/04/15;2;4480;620
18/04/15;0;4110;1663
18/04/15;1;3950;1033
18/04/15;2;2560;646
17/04/15;0;1230;1210
17/04/15;1;1170;316
17/04/15;2;700;152
16/04/15;0;4660;914
16/04/15;1;4490;888
16/04/15;2;2920;565
15/04/15;0;6680;1664
15/04/15;1;6460;1109
15/04/15;2;4090;593
14/04/15;0;3690;908
14/04/15;1;3520;732
14/04/15;2;2270;468
13/04/15;0;6460;944
13/04/15;1;6240;917
13/04/15;2;3940;579
12/04/15;0;5940;1514
12/04/15;1;5740;917
12/04/15;2;3680;574
11/04/15;0;5990;1058
11/04/15;1;5800;867
11/04/15;2;3680;544
10/04/15;0;5860;1362
10/04/15;1;5650;859
10/04/15;2;3600;542
09/04/15;0;6570;941
09/04/15;1;6360;1110
09/04/15;2;4020;578
08/04/15;0;6850;1209
08/04/15;1;6620;1036
08/04/15;2;4200;658
07/04/15;0;6810;1059
07/04/15;1;6610;1425
07/04/15;2;4180;594
06/04/15;0;6150;1212
06/04/15;1;5980;1425
06/04/15;2;3790;604
05/04/15;0;4310;907
05/04/15;1;4160;840
05/04/15;2;2690;539
04/04/15;0;4720;1072
04/04/15;1;4550;1053
04/04/15;2;2940;664
03/04/15;0;6470;937
03/04/15;1;6250;1584
03/04/15;2;3970;573
02/04/15;0;6200;933
02/04/15;1;6000;1425
02/04/15;2;3810;575
01/04/15;0;6600;1209
01/04/15;1;6380;2059
01/04/15;2;4020;714
31/03/15;0;5410;920
31/03/15;1;5240;1109
31/03/15;2;3350;559
30/03/15;0;3840;1209
30/03/15;1;3720;1267
30/03/15;2;2400;566
29/03/15;0;3580;907
29/03/15;1;3480;809
29/03/15;2;2250;508
28/03/15;0;6240;1361
28/03/15;1;6060;1109
28/03/15;2;3830;563
27/03/15;0;5010;1210
27/03/15;1;4850;866
27/03/15;2;3140;539
26/03/15;0;1540;606
26/03/15;1;1470;319
26/03/15;2;960;207
25/03/15;0;1080;1209
25/03/15;1;1040;321
25/03/15;2;670;149
24/03/15;0;2770;1814
24/03/15;1;2680;850
24/03/15;2;1730;534
23/03/15;0;3280;1003
23/03/15;1;3160;974
23/03/15;2;2060;625
22/03/15;0;1850;1512
22/03/15;1;1770;580
22/03/15;2;1170;391
21/03/15;0;1000;1210
21/03/15;1;970;317
21/03/15;2;610;149
20/03/15;0;3990;1663
20/03/15;1;3850;754
20/03/15;2;2470;475
19/03/15;0;4780;907
19/03/15;1;4630;737
19/03/15;2;2950;468
18/03/15;0;4920;1062
18/03/15;1;4760;760
18/03/15;2;3030;478
17/03/15;0;2400;1361
17/03/15;1;2300;601
17/03/15;2;1490;382
16/03/15;0;910;1965
16/03/15;1;880;319
16/03/15;2;560;155
15/03/15;0;3150;1361
15/03/15;1;3090;732
15/03/15;2;2000;463
14/03/15;0;3850;907
14/03/15;1;3710;723
14/03/15;2;2390;459
13/03/15;0;4630;1361
13/03/15;1;4500;1109
13/03/15;2;2890;464
12/03/15;0;4890;1814
12/03/15;1;4780;1584
12/03/15;2;3060;492
11/03/15;0;4440;1361
11/03/15;1;4330;1584
11/03/15;2;2780;468
10/03/15;0;4590;1210
10/03/15;1;4490;1267
10/03/15;2;2870;469
09/03/15;0;2800;1211
09/03/15;1;2710;950
09/03/15;2;1820;439
08/03/15;0;4320;1210
08/03/15;1;4200;1585
08/03/15;2;2720;468
07/03/15;0;4350;1209
07/03/15;1;4210;1742
07/03/15;2;2700;456
06/03/15;0;4610;1512
06/03/15;1;4500;1426
06/03/15;2;2880;474
05/03/15;0;4570;908
05/03/15;1;4450;1584
05/03/15;2;2850;502
04/03/15;0;2730;1210
04/03/15;1;2650;1426
04/03/15;2;1790;434
03/03/15;0;4420;1210
03/03/15;1;4300;1109
03/03/15;2;2770;462
02/03/15;0;450;1209
02/03/15;1;440;1267
02/03/15;2;260;98
01/03/15;0;2300;1664
01/03/15;1;2240;1426
01/03/15;2;1440;485
28/02/15;0;3000;1210
28/02/15;1;2920;830
28/02/15;2;1880;519
27/02/15;0;1810;613
27/02/15;1;1730;633
27/02/15;2;1130;234
26/02/15;0;2290;907
26/02/15;1;2200;477
26/02/15;2;1430;304
25/02/15;0;2590;756
25/02/15;1;2510;702
25/02/15;2;1620;425
24/02/15;0;530;1362
24/02/15;1;510;323
24/02/15;2;290;107
23/02/15;0;3350;1058
23/02/15;1;3280;951
23/02/15;2;2110;438
22/02/15;0;2790;1059
22/02/15;1;2710;817
22/02/15;2;1720;505
21/02/15;0;190;1663
21/02/15;1;200;1267
21/02/15;2;90;66
20/02/15;0;3360;1210
20/02/15;1;3280;1584
20/02/15;2;2110;399
19/02/15;0;3410;1059
19/02/15;1;3330;1584
19/02/15;2;2140;395
18/02/15;0;3400;1361
18/02/15;1;3310;1901
18/02/15;2;2130;386
17/02/15;0;3360;1361
17/02/15;1;3280;1268
17/02/15;2;2100;384
16/02/15;0;2370;1362
16/02/15;1;2310;950
16/02/15;2;1500;414
15/02/15;0;690;1210
15/02/15;1;660;792
15/02/15;2;420;116
14/02/15;0;350;1209
14/02/15;1;340;1267
14/02/15;2;200;103
13/02/15;0;340;1814
13/02/15;1;340;478
13/02/15;2;170;55
12/02/15;0;2980;1360
12/02/15;1;2910;1742
12/02/15;2;1870;360
11/02/15;0;3040;1059
11/02/15;1;2970;792
11/02/15;2;1910;397
10/02/15;0;3090;589
10/02/15;1;3020;1584
10/02/15;2;1930;364
09/02/15;0;3030;1361
09/02/15;1;2960;951
09/02/15;2;1900;365
08/02/15;0;3030;1663
08/02/15;1;2960;1742
08/02/15;2;1890;362
07/02/15;0;2510;1361
07/02/15;1;2430;2059
07/02/15;2;1550;364
06/02/15;0;140;1513
06/02/15;1;150;794
06/02/15;2;60;25
05/02/15;0;260;1815
05/02/15;1;250;1426
05/02/15;2;160;121
04/02/15;0;2130;907
04/02/15;1;2080;1584
04/02/15;2;1330;391
03/02/15;0;1150;909
03/02/15;1;1120;1425
03/02/15;2;720;229
02/02/15;0;2370;1513
02/02/15;1;2320;1426
02/02/15;2;1500;309
01/02/15;0;2430;911
01/02/15;1;2370;795
01/02/15;2;1510;301
31/01/15;0;1590;909
31/01/15;1;1470;793
31/01/15;2;600;180
30/01/15;0;20;1058
30/01/15;1;20;951
30/01/15;2;0;8
29/01/15;0;840;907
29/01/15;1;810;1267
29/01/15;2;510;171
28/01/15;0;2290;1210
28/01/15;1;2240;1584
28/01/15;2;1440;295
27/01/15;0;1780;922
27/01/15;1;1720;1437
27/01/15;2;1110;292
26/01/15;0;2160;644
26/01/15;1;2110;1584
26/01/15;2;1370;281
25/01/15;0;1790;1361
25/01/15;1;1730;793
25/01/15;2;1120;345
24/01/15;0;2090;1815
24/01/15;1;2040;1426
24/01/15;2;1320;277
23/01/15;0;1600;1512
23/01/15;1;1540;635
23/01/15;2;980;323
22/01/15;0;730;1209
22/01/15;1;710;318
22/01/15;2;460;187
21/01/15;0;140;1664
21/01/15;1;150;1425
21/01/15;2;60;75
20/01/15;0;1320;611
20/01/15;1;1310;1584
20/01/15;2;840;253
19/01/15;0;1290;1059
19/01/15;1;1240;1267
19/01/15;2;820;220
18/01/15;0;1300;1361
18/01/15;1;1270;1584
18/01/15;2;820;294
17/01/15;0;400;1512
17/01/15;1;390;1268
17/01/15;2;230;87
16/01/15;0;0;1061
16/01/15;1;0;1903
16/01/15;2;0;13
15/01/15;0;1020;907
15/01/15;1;1010;793
15/01/15;2;670;237
14/01/15;0;1130;608
14/01/15;1;1130;1584
14/01/15;2;760;243
13/01/15;0;1430;330
13/01/15;1;1420;1109
13/01/15;2;950;222
12/01/15;0;1530;756
12/01/15;1;1530;952
12/01/15;2;1040;241
11/01/15;0;640;453
11/01/15;1;630;1267
11/01/15;2;410;160
10/01/15;0;1280;1059
10/01/15;1;1270;1267
10/01/15;2;860;260
09/01/15;0;1290;1362
09/01/15;1;1270;1585
09/01/15;2;850;227
08/01/15;0;1290;1362
08/01/15;1;1270;1267
08/01/15;2;850;226
07/01/15;0;1270;757
07/01/15;1;1270;1425
07/01/15;2;840;199
06/01/15;0;1440;908
06/01/15;1;1420;1584
06/01/15;2;950;221
05/01/15;0;1400;609
05/01/15;1;1380;794
05/01/15;2;930;241
04/01/15;0;1390;1214
04/01/15;1;1370;1268
04/01/15;2;920;246
03/01/15;0;1250;608
03/01/15;1;1240;1109
03/01/15;2;810;220
02/01/15;0;1070;2117
02/01/15;1;1060;1108
02/01/15;2;690;256
01/01/15;0;1190;1361
01/01/15;1;1170;1901
01/01/15;2;760;191
31/12/14;0;1000;756
31/12/14;1;980;1426
31/12/14;2;640;250
30/12/14;0;890;1361
30/12/14;1;870;1900
30/12/14;2;560;833
29/12/14;0;880;453
29/12/14;1;760;1426
29/12/14;2;360;154
28/12/14;0;0;453
28/12/14;1;0;1426
28/12/14;2;0;0
27/12/14;0;50;1211
27/12/14;1;60;1109
27/12/14;2;10;18
26/12/14;0;1280;1058
26/12/14;1;1250;633
26/12/14;2;830;206
25/12/14;0;1160;1361
25/12/14;1;1140;1269
25/12/14;2;730;199
24/12/14;0;910;757
24/12/14;1;890;1901
24/12/14;2;580;197
23/12/14;0;1270;1513
23/12/14;1;1250;2059
23/12/14;2;820;203
22/12/14;0;1400;1210
22/12/14;1;1380;793
22/12/14;2;890;308
21/12/14;0;1320;334
21/12/14;1;1290;634
21/12/14;2;840;213
20/12/14;0;1360;1060
20/12/14;1;1320;1584
20/12/14;2;860;202
19/12/14;0;1280;1059
19/12/14;1;1260;1267
19/12/14;2;820;208
18/12/14;0;1320;1814
18/12/14;1;1300;1584
18/12/14;2;850;227
17/12/14;0;960;1814
17/12/14;1;940;1268
17/12/14;2;610;197
16/12/14;0;140;1210
16/12/14;1;150;634
16/12/14;2;50;26
15/12/14;0;380;1965
15/12/14;1;370;1425
15/12/14;2;210;86
14/12/14;0;420;1814
14/12/14;1;420;794
14/12/14;2;250;152
13/12/14;0;590;1967
13/12/14;1;580;951
13/12/14;2;370;172
12/12/14;0;1110;1816
12/12/14;1;1090;2059
12/12/14;2;710;232
11/12/14;0;1370;1058
11/12/14;1;1350;1109
11/12/14;2;880;236
10/12/14;0;1150;1219
10/12/14;1;1110;1584
10/12/14;2;730;296
09/12/14;0;1500;908
09/12/14;1;1470;633
09/12/14;2;940;222
08/12/14;0;1410;1814
08/12/14;1;1380;794
08/12/14;2;880;221
07/12/14;0;660;1210
07/12/14;1;640;1110
07/12/14;2;400;119
06/12/14;0;820;1059
06/12/14;1;800;635
06/12/14;2;520;163
05/12/14;0;670;1060
05/12/14;1;640;634
