#Date;Inv;Psum;Pmax
31/07/15;0;230090;28936
30/07/15;0;200100;31480
29/07/15;0;96920;24715
28/07/15;0;163710;30444
27/07/15;0;185580;31666
26/07/15;0;160240;26846
25/07/15;0;199340;30701
24/07/15;0;167350;27825
23/07/15;0;217640;27955
22/07/15;0;188770;28530
21/07/15;0;223460;26514
20/07/15;0;199480;28463
19/07/15;0;235190;26695
18/07/15;0;238990;27699
17/07/15;0;165960;25938
16/07/15;0;177700;27790
15/07/15;0;226580;26915
14/07/15;0;230900;26675
13/07/15;0;153000;27283
12/07/15;0;244360;26700
11/07/15;0;240770;27370
10/07/15;0;256240;27790
09/07/15;0;250540;28010
08/07/15;0;123700;28137
07/07/15;0;210840;25932
06/07/15;0;229450;25857
05/07/15;0;213010;26385
04/07/15;0;230920;26625
03/07/15;0;141210;27276
02/07/15;0;228700;26950
01/07/15;0;204670;28076
30/06/15;0;248130;27988
29/06/15;0;102150;23994
28/06/15;0;262010;28580
27/06/15;0;155030;29144
26/06/15;0;246970;27872
25/06/15;0;189340;30059
24/06/15;0;261960;29629
23/06/15;0;128830;32982
22/06/15;0;164880;29542
21/06/15;0;197650;31991
20/06/15;0;185430;31831
19/06/15;0;159870;31138
18/06/15;0;169700;28478
17/06/15;0;225040;31521
16/06/15;0;129530;32076
15/06/15;0;117230;31964
14/06/15;0;84340;22702
13/06/15;0;173280;30001
12/06/15;0;201490;27711
11/06/15;0;228580;30400
10/06/15;0;214200;29615
09/06/15;0;183820;30116
08/06/15;0;147310;24707
07/06/15;0;248730;27646
06/06/15;0;163850;27980
05/06/15;0;234400;26626
04/06/15;0;195950;28816
03/06/15;0;236600;28691
02/06/15;0;244990;28381
01/06/15;0;235860;28915
31/05/15;0;161950;31182
30/05/15;0;233480;28725
29/05/15;0;223370;30901
28/05/15;0;262400;30001
27/05/15;0;274870;30386
26/05/15;0;167270;32885
25/05/15;0;184330;29405
24/05/15;0;221810;32311
23/05/15;0;71770;15309
22/05/15;0;69530;14108
21/05/15;0;71050;18933
20/05/15;0;17300;6293
19/05/15;0;156360;30974
18/05/15;0;243780;30432
17/05/15;0;247890;28590
16/05/15;0;242900;31335
15/05/15;0;23340;5819
14/05/15;0;215550;29874
13/05/15;0;167110;26168
12/05/15;0;192320;27205
11/05/15;0;230100;28548
10/05/15;0;255410;29974
09/05/15;0;187980;33359
08/05/15;0;189350;31829
07/05/15;0;255870;28844
06/05/15;0;208840;31163
05/05/15;0;193830;29262
04/05/15;0;58340;12278
03/05/15;0;21560;5363
02/05/15;0;223410;29400
01/05/15;0;59900;11058
30/04/15;0;118490;32588
29/04/15;0;252480;30702
28/04/15;0;170270;31229
27/04/15;0;33920;7532
26/04/15;0;131350;29852
25/04/15;0;118720;21011
24/04/15;0;241350;29090
23/04/15;0;211170;29935
22/04/15;0;257740;29748
21/04/15;0;259400;30274
20/04/15;0;255610;29314
19/04/15;0;255010;30682
18/04/15;0;105910;28090
17/04/15;0;46870;7804
16/04/15;0;163640;27459
15/04/15;0;240970;28758
14/04/15;0;118600;21550
13/04/15;0;231570;28706
12/04/15;0;228370;28644
11/04/15;0;200360;27645
10/04/15;0;215550;28487
09/04/15;0;245280;29689
08/04/15;0;241110;31190
07/04/15;0;263180;31244
06/04/15;0;234330;31683
05/04/15;0;182670;33103
04/04/15;0;143490;32535
03/04/15;0;252760;30396
02/04/15;0;239480;29692
01/04/15;0;258070;31591
31/03/15;0;218400;29136
30/03/15;0;124310;28092
29/03/15;0;151420;28748
28/03/15;0;241530;29748
27/03/15;0;182450;31887
26/03/15;0;47160;11473
25/03/15;0;42910;8424
24/03/15;0;98060;29567
23/03/15;0;83570;27963
22/03/15;0;56780;23576
21/03/15;0;35510;6852
20/03/15;0;150730;26202
19/03/15;0;188180;26258
18/03/15;0;198120;26885
17/03/15;0;73900;20702
16/03/15;0;38330;8436
15/03/15;0;137370;27245
14/03/15;0;147440;24136
13/03/15;0;206260;27174
12/03/15;0;215950;29112
11/03/15;0;193920;26945
10/03/15;0;202940;27879
09/03/15;0;90710;27168
08/03/15;0;198310;27806
07/03/15;0;192930;27444
06/03/15;0;209090;28928
05/03/15;0;212380;29980
04/03/15;0;122070;26272
03/03/15;0;206260;28888
02/03/15;0;13140;5202
01/03/15;0;93960;28880
28/02/15;0;140030;30980
27/02/15;0;50740;14085
26/02/15;0;89080;28269
25/02/15;0;89430;26537
24/02/15;0;18390;5015
23/02/15;0;157720;27319
22/02/15;0;102690;27877
21/02/15;0;12730;3247
20/02/15;0;171170;26016
19/02/15;0;174210;26207
18/02/15;0;174070;26106
17/02/15;0;169520;25606
16/02/15;0;130620;29440
15/02/15;0;28180;10910
14/02/15;0;11580;2917
13/02/15;0;16490;3133
12/02/15;0;161110;24937
11/02/15;0;162210;25476
10/02/15;0;164040;25674
09/02/15;0;161210;25327
08/02/15;0;168750;26775
07/02/15;0;131830;28234
06/02/15;0;11470;2539
05/02/15;0;12470;5124
04/02/15;0;102930;28310
03/02/15;0;38830;18051
02/02/15;0;146310;25543
01/02/15;0;149970;27134
31/01/15;0;143450;26513
30/01/15;0;22240;16075
29/01/15;0;20680;7060
28/01/15;0;141710;25152
27/01/15;0;110660;25193
26/01/15;0;139060;24565
25/01/15;0;97930;26425
24/01/15;0;133370;23912
23/01/15;0;57770;20526
22/01/15;0;33990;17414
21/01/15;0;9590;1887
20/01/15;0;118280;22877
19/01/15;0;84550;21009
18/01/15;0;75810;24186
17/01/15;0;18260;6168
16/01/15;0;1960;812
15/01/15;0;51490;22963
14/01/15;0;37500;19931
13/01/15;0;114980;21731
12/01/15;0;117500;22456
11/01/15;0;34020;18253
10/01/15;0;74550;23797
09/01/15;0;80500;21900
08/01/15;0;88570;21615
07/01/15;0;98700;19923
06/01/15;0;112390;21635
05/01/15;0;113510;22034
04/01/15;0;113980;21800
03/01/15;0;90110;21717
02/01/15;0;74450;20912
01/01/15;0;98580;20018
31/12/14;0;35300;14778
30/12/14;0;74890;23052
29/12/14;0;76730;24120
28/12/14;0;3680;1344
27/12/14;0;6680;2007
26/12/14;0;111190;21589
25/12/14;0;92980;20522
24/12/14;0;51250;12507
23/12/14;0;107640;21077
22/12/14;0;78890;26437
21/12/14;0;109360;21140
20/12/14;0;104560;20689
19/12/14;0;105360;20609
18/12/14;0;96980;24858
17/12/14;0;63500;17827
16/12/14;0;9090;2097
15/12/14;0;7320;1924
14/12/14;0;9650;5394
13/12/14;0;24620;12165
12/12/14;0;95060;22423
11/12/14;0;104560;21221
10/12/14;0;85200;25950
09/12/14;0;109750;21894
08/12/14;0;104660;20866
07/12/14;0;36750;15451
06/12/14;0;39320;24945
05/12/14;0;20090;4658
04/12/14;0;12460;2963
03/12/14;0;35260;14101
02/12/14;0;35540;11998
01/12/14;0;6250;4049
30/11/14;0;13630;5599
29/11/14;0;66250;20469
28/11/14;0;7550;4192
27/11/14;0;10030;2598
26/11/14;0;10150;2558
25/11/14;0;40500;22519
24/11/14;0;70540;20084
23/11/14;0;119610;22003
22/11/14;0;113710;22038
21/11/14;0;112240;21858
20/11/14;0;86560;24977
19/11/14;0;129760;23048
18/11/14;0;76100;26463
17/11/14;0;18210;5415
16/11/14;0;83840;26118
15/11/14;0;3570;1216
14/11/14;0;49820;22400
13/11/14;0;81330;27729
12/11/14;0;25850;13726
11/11/14;0;15790;10495
10/11/14;0;7570;2257
09/11/14;0;41290;21324
08/11/14;0;58040;14845
07/11/14;0;24370;7936
06/11/14;0;7990;2331
05/11/14;0;2140;840
04/11/14;0;4770;1848
03/11/14;0;116110;24185
02/11/14;0;152430;23832
01/11/14;0;147550;24458
31/10/14;0;153780;24060
30/10/14;0;157570;24586
29/10/14;0;151970;23636
28/10/14;0;154240;23880
27/10/14;0;162990;24612
26/10/14;0;161030;27699
25/10/14;0;104290;26326
24/10/14;0;176910;26180
23/10/14;0;180110;26270
22/10/14;0;185350;26605
21/10/14;0;110350;22074
20/10/14;0;122180;27013
19/10/14;0;165230;25611
18/10/14;0;174030;25354
17/10/14;0;79090;29200
16/10/14;0;57970;17968
15/10/14;0;86870;30607
14/10/14;0;101960;27360
13/10/14;0;9900;11936
12/10/14;0;79240;24734
11/10/14;0;77650;23678
10/10/14;0;97260;27873
09/10/14;0;67810;25368
08/10/14;0;28110;10284
07/10/14;0;70640;24864
06/10/14;0;165000;25130
05/10/14;0;144610;26626
04/10/14;0;159120;29135
03/10/14;0;136520;25489
02/10/14;0;176250;27635
01/10/14;0;45130;11211
30/09/14;0;152230;26374
29/09/14;0;193340;25746
28/09/14;0;176770;25004
27/09/14;0;208340;26435
26/09/14;0;159170;28076
25/09/14;0;168600;26765
24/09/14;0;119030;29625
23/09/14;0;222880;29134
22/09/14;0;209210;28395
21/09/14;0;176820;28137
20/09/14;0;75980;27806
19/09/14;0;96580;23678
18/09/14;0;137840;28467
17/09/14;0;134090;29302
16/09/14;0;131730;31588
15/09/14;0;167910;27819
14/09/14;0;231140;27647
13/09/14;0;182520;28592
12/09/14;0;223040;28556
11/09/14;0;141500;28678
10/09/14;0;196210;27755
09/09/14;0;176380;28302
08/09/14;0;174790;27050
07/09/14;0;219690;26760
06/09/14;0;161410;30121
05/09/14;0;79590;20849
04/09/14;0;40050;22195
03/09/14;0;115630;31245
02/09/14;0;234220;31773
01/09/14;0;148560;32426
31/08/14;0;114820;24876
30/08/14;0;141640;27885
29/08/14;0;225920;26978
28/08/14;0;206910;29539
27/08/14;0;224920;28757
26/08/14;0;74580;26740
25/08/14;0;78080;30769
24/08/14;0;238970;30742
23/08/14;0;73740;30020
22/08/14;0;139880;28657
21/08/14;0;243440;29435
20/08/14;0;132970;32236
19/08/14;0;52950;10751
18/08/14;0;183270;32068
17/08/14;0;258330;28680
16/08/14;0;140770;32812
15/08/14;0;98560;27972
14/08/14;0;105320;23260
13/08/14;0;46730;26258
12/08/14;0;148710;30389
11/08/14;0;175170;30566
10/08/14;0;210470;29814
09/08/14;0;94030;24698
08/08/14;0;220870;27788
07/08/14;0;139510;30048
06/08/14;0;245670;28704
05/08/14;0;179480;31878
04/08/14;0;252050;28120
03/08/14;0;130080;27414
02/08/14;0;171180;32243
01/08/14;0;194860;28777
31/07/14;0;140050;25957
30/07/14;0;93720;24335
29/07/14;0;75110;17913
28/07/14;0;185420;30930
27/07/14;0;169130;32364
