#Date;Inv;Psum;Pmax
31/07/15;0;103520;13849
30/07/15;0;97160;16204
29/07/15;0;52350;15925
28/07/15;0;75030;15653
27/07/15;0;77420;16144
26/07/15;0;86930;13559
25/07/15;0;93710;14681
24/07/15;0;81500;15137
23/07/15;0;104990;13036
22/07/15;0;95070;13247
21/07/15;0;96970;12794
20/07/15;0;83420;14472
19/07/15;0;105690;13524
18/07/15;0;112180;14000
17/07/15;0;75450;13190
16/07/15;0;86700;14263
15/07/15;0;110290;13013
14/07/15;0;112640;13244
13/07/15;0;72330;15410
12/07/15;0;110040;13522
11/07/15;0;115170;13686
10/07/15;0;121770;13908
09/07/15;0;104880;14376
08/07/15;0;51790;15057
22/06/15;0;73390;15960
21/06/15;0;109840;17090
20/06/15;0;102530;17462
19/06/15;0;95390;16824
18/06/15;0;83680;15732
17/06/15;0;122830;17142
16/06/15;0;61990;13994
15/06/15;0;52980;14854
14/06/15;0;47280;13784
13/06/15;0;87040;15508
12/06/15;0;92960;14512
11/06/15;0;100170;15502
10/06/15;0;108250;16411
09/06/15;0;93680;17116
08/06/15;0;72610;13197
07/06/15;0;117460;13454
06/06/15;0;87170;14643
05/06/15;0;111010;13163
04/06/15;0;97190;15299
03/06/15;0;114090;13552
02/06/15;0;109840;15610
01/06/15;0;113470;14543
31/05/15;0;58930;15496
30/05/15;0;102730;14405
29/05/15;0;108430;15519
28/05/15;0;123070;15057
27/05/15;0;129660;15519
26/05/15;0;76730;15338
25/05/15;0;90370;16154
24/05/15;0;84920;17101
23/05/15;0;33250;7023
22/05/15;0;42140;7916
21/05/15;0;38250;15462
20/05/15;0;12020;3108
19/05/15;0;75790;14935
18/05/15;0;107950;14316
17/05/15;0;114270;13827
16/05/15;0;116980;14134
15/05/15;0;10600;6547
14/05/15;0;83730;14144
13/05/15;0;80020;12453
12/05/15;0;92410;12741
11/05/15;0;105320;13627
10/05/15;0;112950;13851
09/05/15;0;87860;15667
08/05/15;0;70370;14438
07/05/15;0;105380;13263
06/05/15;0;86320;14691
05/05/15;0;88270;13553
04/05/15;0;27410;5042
03/05/15;0;13320;4669
02/05/15;0;92850;13318
01/05/15;0;14830;4126
30/04/15;0;69480;18921
29/04/15;0;82010;13732
27/04/15;0;14470;3765
26/04/15;0;66380;14529
25/04/15;0;46480;12467
24/04/15;0;98020;12770
23/04/15;0;88170;13001
22/04/15;0;100380;12768
21/04/15;0;99540;12623
20/04/15;0;84750;12797
19/04/15;0;40820;12800
18/04/15;0;52170;14636
17/04/15;0;23900;3481
16/04/15;0;69940;11976
15/04/15;0;94030;12608
14/04/15;0;61770;11475
13/04/15;0;89350;12325
12/04/15;0;87140;12643
11/04/15;0;77810;11998
10/04/15;0;83480;12086
09/04/15;0;91210;12399
08/04/15;0;86440;13070
07/04/15;0;95720;13263
06/04/15;0;85380;15558
05/04/15;0;70340;12853
04/04/15;0;58630;13999
03/04/15;0;88080;12703
02/04/15;0;85330;12521
01/04/15;0;89210;13236
31/03/15;0;80980;12483
30/03/15;0;49140;11638
29/03/15;0;56880;13134
28/03/15;0;78470;11726
27/03/15;0;26200;10565
26/03/15;0;25770;4863
25/03/15;0;25820;4789
24/03/15;0;40380;12116
23/03/15;0;44520;13293
22/03/15;0;25370;8646
21/03/15;0;15940;6789
20/03/15;0;5970;3188
19/03/15;0;63460;10321
18/03/15;0;65360;10592
17/03/15;0;31850;8456
16/03/15;0;16310;3667
15/03/15;0;53410;12090
14/03/15;0;49150;9666
13/03/15;0;66180;10911
12/03/15;0;67030;11356
11/03/15;0;63180;10419
10/03/15;0;62610;10664
09/03/15;0;39550;9778
08/03/15;0;62690;10825
07/03/15;0;54560;10518
06/03/15;0;40820;10577
05/03/15;0;63820;11872
04/03/15;0;43930;10082
03/03/15;0;61030;10849
02/03/15;0;11380;3946
01/03/15;0;34270;9784
28/02/15;0;42280;11039
27/02/15;0;23480;4552
26/02/15;0;36910;9098
25/02/15;0;34780;6874
24/02/15;0;8450;1919
23/02/15;0;50410;9535
22/02/15;0;30900;10627
21/02/15;0;8610;2817
20/02/15;0;48880;9003
19/02/15;0;47560;8929
18/02/15;0;46690;8785
17/02/15;0;44790;8559
16/02/15;0;41010;9121
15/02/15;0;16990;5780
14/02/15;0;7050;1752
13/02/15;0;11340;2715
12/02/15;0;41550;8135
11/02/15;0;40760;7971
10/02/15;0;40940;8254
09/02/15;0;40510;8384
08/02/15;0;42330;8250
07/02/15;0;36820;7989
06/02/15;0;5860;1469
05/02/15;0;6260;2652
04/02/15;0;36910;10318
03/02/15;0;20510;5271
02/02/15;0;35340;7482
01/02/15;0;34160;8518
31/01/15;0;10390;3934
30/01/15;0;800;542
29/01/15;0;14450;6788
28/01/15;0;33680;7062
27/01/15;0;26520;7036
26/01/15;0;31430;6804
25/01/15;0;26050;7142
24/01/15;0;30040;6592
23/01/15;0;18020;6676
22/01/15;0;14860;3934
21/01/15;0;3950;1346
20/01/15;0;27480;6142
19/01/15;0;23670;6078
18/01/15;0;16010;5286
17/01/15;0;9250;2796
16/01/15;0;4170;2828
15/01/15;0;13940;4160
14/01/15;0;14440;6220
13/01/15;0;24300;5412
12/01/15;0;23680;5480
11/01/15;0;8520;5526
10/01/15;0;20600;6128
09/01/15;0;21750;5682
08/01/15;0;19870;5796
07/01/15;0;20780;4948
06/01/15;0;22130;5268
05/01/15;0;22160;5278
04/01/15;0;22080;5246
03/01/15;0;19170;5160
02/01/15;0;19150;5938
01/01/15;0;20240;4892
31/12/14;0;15950;6052
30/12/14;0;17120;4840
29/12/14;0;16680;5840
28/12/14;0;3160;756
27/12/14;0;3480;1346
26/12/14;0;23140;5264
25/12/14;0;20010;5084
24/12/14;0;15640;4238
23/12/14;0;21060;4986
22/12/14;0;22720;8040
21/12/14;0;21830;5018
20/12/14;0;21770;4948
19/12/14;0;21280;4932
18/12/14;0;20940;6912
17/12/14;0;18800;4878
16/12/14;0;3630;1202
15/12/14;0;3710;1290
14/12/14;0;5850;1866
13/12/14;0;13420;5158
12/12/14;0;20560;6218
11/12/14;0;21890;5349
10/12/14;0;21000;7610
09/12/14;0;21100;5280
08/12/14;0;22310;5276
07/12/14;0;15480;5324
06/12/14;0;12850;4350
05/12/14;0;9810;2254
04/12/14;0;5650;1738
03/12/14;0;13490;3594
02/12/14;0;13530;3358
01/12/14;0;2850;1796
30/11/14;0;5970;2412
29/11/14;0;16830;6506
28/11/14;0;2760;982
27/11/14;0;5300;1920
26/11/14;0;6110;1932
25/11/14;0;16810;6822
24/11/14;0;21790;6150
23/11/14;0;26220;6076
22/11/14;0;25710;5962
21/11/14;0;26080;6038
20/11/14;0;23630;6570
19/11/14;0;28130;6347
18/11/14;0;23930;9470
17/11/14;0;8270;2744
16/11/14;0;20920;7598
15/11/14;0;1760;744
14/11/14;0;12760;3316
13/11/14;0;20960;4808
12/11/14;0;10960;3944
11/11/14;0;6840;3316
10/11/14;0;3870;1880
09/11/14;0;15690;7046
08/11/14;0;23830;6524
07/11/14;0;11540;4414
06/11/14;0;2870;988
05/11/14;0;980;636
04/11/14;0;2990;1790
03/11/14;0;32540;8208
02/11/14;0;38130;7522
01/11/14;0;37850;7772
31/10/14;0;39130;7762
30/10/14;0;41310;8568
29/10/14;0;40200;7864
28/10/14;0;41510;7954
27/10/14;0;43370;8302
26/10/14;0;39670;10062
25/10/14;0;40670;10948
24/10/14;0;45580;8652
23/10/14;0;47130;8946
22/10/14;0;50060;10410
21/10/14;0;35730;7342
20/10/14;0;40420;9868
19/10/14;0;43780;8748
18/10/14;0;48550;8910
17/10/14;0;26460;10750
16/10/14;0;27600;6766
15/10/14;0;32680;9054
14/10/14;0;40570;12150
13/10/14;0;4200;3554
12/10/14;0;34030;10256
11/10/14;0;29110;8868
10/10/14;0;32440;11384
09/10/14;0;35040;10888
08/10/14;0;12560;3578
07/10/14;0;25460;11734
06/10/14;0;57500;9672
05/10/14;0;54070;10418
04/10/14;0;49800;10418
03/10/14;0;48760;9790
02/10/14;0;59880;11278
01/10/14;0;23540;4906
30/09/14;0;54190;11348
29/09/14;0;63360;10262
28/09/14;0;58560;10002
27/09/14;0;66570;10638
26/09/14;0;56170;11615
25/09/14;0;62040;10762
24/09/14;0;34260;9922
23/09/14;0;72890;11668
22/09/14;0;67820;11316
21/09/14;0;63220;13214
20/09/14;0;34510;8842
19/09/14;0;32590;10812
18/09/14;0;45950;9848
17/09/14;0;47860;13112
16/09/14;0;50380;12604
15/09/14;0;70720;11941
14/09/14;0;79300;11856
13/09/14;0;72910;16036
12/09/14;0;85570;12228
11/09/14;0;72200;12784
10/09/14;0;75190;12330
09/09/14;0;63560;13912
08/09/14;0;72320;12018
07/09/14;0;83200;11911
06/09/14;0;68680;14800
05/09/14;0;41090;9227
04/09/14;0;19980;6234
03/09/14;0;48220;15148
02/09/14;0;97970;13475
01/09/14;0;66710;13956
31/08/14;0;48670;9771
30/08/14;0;54440;13848
29/08/14;0;87110;13170
28/08/14;0;88480;12977
27/08/14;0;94840;12676
26/08/14;0;28280;12194
25/08/14;0;30640;8446
24/08/14;0;79460;13607
23/08/14;0;37050;13595
22/08/14;0;49490;16056
21/08/14;0;97620;14092
20/08/14;0;64730;17023
19/08/14;0;35040;11182
18/08/14;0;87590;16040
17/08/14;0;109780;13656
16/08/14;0;78550;16638
15/08/14;0;40540;15513
14/08/14;0;45890;10925
13/08/14;0;19100;5920
12/08/14;0;55140;15540
11/08/14;0;89080;17088
10/08/14;0;89820;15558
09/08/14;0;52050;14906
08/08/14;0;89930;13818
07/08/14;0;80840;15846
06/08/14;0;107820;13288
05/08/14;0;87600;14518
04/08/14;0;107370;13753
03/08/14;0;69560;14903
02/08/14;0;87720;18062
01/08/14;0;88660;14240
31/07/14;0;80870;14970
30/07/14;0;51520;13386
29/07/14;0;42780;8490
28/07/14;0;75590;18148
27/07/14;0;72050;17087
26/07/14;0;25320;11743
25/07/14;0;106780;15420
24/07/14;0;49840;10788
23/07/14;0;97760;16472
22/07/14;0;75300;15891
21/07/14;0;13200;6286
20/07/14;0;69390;14380
19/07/14;0;112750;13920
18/07/14;0;118230;13602
17/07/14;0;118370;13570
16/07/14;0;111820;13864
15/07/14;0;120280;13998
14/07/14;0;81100;17811
13/07/14;0;93470;15642
12/07/14;0;93740;16529
11/07/14;0;114850;16412
10/07/14;0;107390;16302
09/07/14;0;71580;12318
08/07/14;0;40050;17610
07/07/14;0;105150;15192
06/07/14;0;92690;16156
05/07/14;0;110510;15430
04/07/14;0;82990;14248
03/07/14;0;126620;14855
02/07/14;0;46850;10676
01/07/14;0;88930;16496
30/06/14;0;117860;15871
29/06/14;0;53150;16987
28/06/14;0;78060;18595
27/06/14;0;99050;17897
26/06/14;0;104260;17186
25/06/14;0;59950;16412
24/06/14;0;64150;15578
23/06/14;0;90190;12216
22/06/14;0;112750;12248
21/06/14;0;114130;12212
20/06/14;0;76650;11994
19/06/14;0;102130;12216
18/06/14;0;103970;12216
17/06/14;0;105860;12240
16/06/14;0;98520;12208
15/06/14;0;59800;11820
14/06/14;0;86870;12192
13/06/14;0;99870;12210
12/06/14;0;89530;12247
11/06/14;0;102800;12224
10/06/14;0;111640;12216
09/06/14;0;100480;12218
08/06/14;0;116030;12241
07/06/14;0;116140;12261
06/06/14;0;115920;12259
05/06/14;0;103240;12174
04/06/14;0;64860;11755
03/06/14;0;82990;12230
02/06/14;0;83970;12152
01/06/14;0;99940;12162
31/05/14;0;121080;12270
30/05/14;0;82090;12192
29/05/14;0;98400;12248
28/05/14;0;92770;12244
27/05/14;0;49770;10149
26/05/14;0;37470;7367
25/05/14;0;110940;12239
24/05/14;0;116830;12241
23/05/14;0;45520;11860
22/05/14;0;101110;12220
21/05/14;0;105500;12220
20/05/14;0;97050;12225
19/05/14;0;91010;12194
18/05/14;0;106000;12254
17/05/14;0;89650;12223
16/05/14;0;62100;12004
15/05/14;0;116420;12230
14/05/14;0;95500;12240
13/05/14;0;88720;12238
12/05/14;0;94290;12192
11/05/14;0;45900;11986
10/05/14;0;89980;12112
09/05/14;0;106070;12196
08/05/14;0;106580;12232
07/05/14;0;29020;11104
06/05/14;0;93840;12232
05/05/14;0;111710;12232
04/05/14;0;113850;12244
03/05/14;0;75510;12184
02/05/14;0;42370;6138
01/05/14;0;86490;12248
30/04/14;0;17970;3346
29/04/14;0;88650;12260
28/04/14;0;20960;3658
27/04/14;0;22630;5292
26/04/14;0;89220;12232
25/04/14;0;87300;12228
24/04/14;0;95970;12228
23/04/14;0;79610;12072
22/04/14;0;84230;12244
21/04/14;0;15780;3392
20/04/14;0;70320;12074
19/04/14;0;36920;11648
18/04/14;0;49840;10040
17/04/14;0;89780;11724
16/04/14;0;91350;12224
15/04/14;0;87490;12144
14/04/14;0;79040;11044
13/04/14;0;43800;12004
12/04/14;0;54380;11968
11/04/14;0;77690;11462
10/04/14;0;81610;10982
09/04/14;0;82400;11132
08/04/14;0;41470;10171
07/04/14;0;78090;10768
06/04/14;0;70760;11222
05/04/14;0;41360;10386
04/04/14;0;53210;11952
03/04/14;0;30250;4745
02/04/14;0;67840;10598
01/04/14;0;68220;10994
31/03/14;0;72320;10822
30/03/14;0;73300;10812
29/03/14;0;72230;10796
28/03/14;0;73400;11062
27/03/14;0;58160;11712
26/03/14;0;60920;12012
25/03/14;0;66570;12200
24/03/14;0;64240;12064
23/03/14;0;8130;3158
22/03/14;0;19760;5688
21/03/14;0;54390;9116
20/03/14;0;58280;9140
19/03/14;0;57810;9566
18/03/14;0;57750;9600
17/03/14;0;59680;9538
16/03/14;0;57180;9572
15/03/14;0;45090;8607
14/03/14;0;55070;9120
13/03/14;0;54350;9056
12/03/14;0;54220;9136
11/03/14;0;48330;8558
10/03/14;0;48940;9502
09/03/14;0;53140;9056
08/03/14;0;52830;8914
07/03/14;0;51560;8848
06/03/14;0;50670;8650
05/03/14;0;37420;10079
04/03/14;0;31700;7940
03/03/14;0;16290;3216
02/03/14;0;24380;6944
01/03/14;0;13810;5512
28/02/14;0;27250;9354
27/02/14;0;33260;9946
26/02/14;0;17600;5064
25/02/14;0;37770;8070
24/02/14;0;44520;8157
23/02/14;0;44490;8198
22/02/14;0;24110;6389
21/02/14;0;36790;8365
20/02/14;0;22980;6999
19/02/14;0;4810;2698
18/02/14;0;34150;9469
17/02/14;0;24050;5472
16/02/14;0;7680;2806
15/02/14;0;33110;10334
14/02/14;0;47730;9584
13/02/14;0;34990;8972
12/02/14;0;42460;9660
11/02/14;0;16230;7448
10/02/14;0;5350;1424
09/02/14;0;17880;5526
08/02/14;0;17530;4403
07/02/14;0;4560;1402
06/02/14;0;38680;8187
05/02/14;0;19510;5362
04/02/14;0;5980;1862
03/02/14;0;9900;3200
02/02/14;0;5960;2124
01/02/14;0;150;110
30/01/14;0;2470;693
29/01/14;0;28050;9313
28/01/14;0;20820;6049
27/01/14;0;23850;8676
26/01/14;0;32920;7326
25/01/14;0;33320;7376
24/01/14;0;18680;4768
23/01/14;0;14230;3380
22/01/14;0;29530;6412
21/01/14;0;24750;9268
20/01/14;0;19430;7392
19/01/14;0;9130;3002
18/01/14;0;1500;456
17/01/14;0;100;50
16/01/14;0;1110;446
15/01/14;0;610;406
13/01/14;0;25060;5826
12/01/14;0;25470;5916
11/01/14;0;5960;1754
10/01/14;0;15720;4918
09/01/14;0;24470;6554
08/01/14;0;21930;5156
07/01/14;0;20430;5948
06/01/14;0;23250;6670
05/01/14;0;1640;602
04/01/14;0;1620;1098
03/01/14;0;10420;2960
02/01/14;0;5900;2185
01/01/14;0;24470;5525
31/12/13;0;21730;6456
30/12/13;0;20740;5702
29/12/13;0;6240;2171
28/12/13;0;16320;6146
27/12/13;0;17500;7318
26/12/13;0;980;640
25/12/13;0;1320;454
24/12/13;0;3550;2250
23/12/13;0;7460;1944
22/12/13;0;2610;764
21/12/13;0;7670;2468
20/12/13;0;4470;1802
19/12/13;0;1770;576
18/12/13;0;19300;4604
17/12/13;0;21330;5196
16/12/13;0;21210;5080
15/12/13;0;21840;5672
14/12/13;0;22780;5124
13/12/13;0;21830;5120
12/12/13;0;22090;5238
11/12/13;0;21640;5104
10/12/13;0;21340;5188
09/12/13;0;16780;5012
08/12/13;0;22600;5749
07/12/13;0;21960;5379
06/12/13;0;22970;5375
05/12/13;0;21270;7044
04/12/13;0;24380;5838
03/12/13;0;24260;5800
02/12/13;0;25070;5904
01/12/13;0;25550;5966
30/11/13;0;14030;3885
29/11/13;0;26150;5776
28/11/13;0;26810;5974
27/11/13;0;17760;7055
26/11/13;0;27770;6316
25/11/13;0;28240;6472
24/11/13;0;10070;2124
23/11/13;0;5050;1582
22/11/13;0;16460;8136
21/11/13;0;7810;3274
20/11/13;0;17680;5010
19/11/13;0;4170;1550
18/11/13;0;7090;2280
17/11/13;0;7210;1764
16/11/13;0;31230;6711
15/11/13;0;2860;788
14/11/13;0;12970;3158
13/11/13;0;33110;6990
12/11/13;0;30180;8584
11/11/13;0;19230;7222
10/11/13;0;14080;3470
09/11/13;0;5740;2314
08/11/13;0;6660;1750
07/11/13;0;35530;8118
06/11/13;0;26640;7544
05/11/13;0;38060;7504
04/11/13;0;14730;4608
03/11/13;0;12430;6728
02/11/13;0;7840;2274
01/11/13;0;16520;6708
31/10/13;0;29500;7814
30/10/13;0;19870;9986
29/10/13;0;4560;4785
28/10/13;0;14240;5476
27/10/13;0;5850;1698
26/10/13;0;42960;10708
25/10/13;0;38000;8264
24/10/13;0;26670;8224
23/10/13;0;3710;2166
22/10/13;0;10520;3940
21/10/13;0;25810;8556
20/10/13;0;20620;9840
19/10/13;0;45140;8444
18/10/13;0;52890;9900
17/10/13;0;51340;9406
16/10/13;0;52570;9846
15/10/13;0;20140;6116
14/10/13;0;28580;6636
13/10/13;0;20060;9298
12/10/13;0;45030;12032
11/10/13;0;46190;12204
10/10/13;0;9340;2540
09/10/13;0;32370;12002
08/10/13;0;36000;11044
07/10/13;0;14370;4934
06/10/13;0;36370;11862
05/10/13;0;18220;4864
04/10/13;0;17520;3998
03/10/13;0;8890;1938
02/10/13;0;57740;11599
01/10/13;0;58750;12245
30/09/13;0;40290;10020
29/09/13;0;27040;7492
28/09/13;0;28580;4882
27/09/13;0;55180;11422
26/09/13;0;50860;10916
25/09/13;0;61810;11832
24/09/13;0;71680;11303
23/09/13;0;72570;11566
22/09/13;0;64220;11684
21/09/13;0;68240;11852
20/09/13;0;69380;11404
19/09/13;0;76900;11536
18/09/13;0;65300;12039
17/09/13;0;80730;12240
16/09/13;0;58280;12032
15/09/13;0;24640;10264
14/09/13;0;81340;12076
13/09/13;0;66500;12200
12/09/13;0;63090;12148
11/09/13;0;66290;11978
10/09/13;0;38100;11840
09/09/13;0;74250;12228
08/09/13;0;34500;11662
07/09/13;0;78850;11618
06/09/13;0;75430;11852
05/09/13;0;78520;11816
04/09/13;0;89300;11885
03/09/13;0;92440;12205
02/09/13;0;91530;12216
01/09/13;0;73500;12239
31/08/13;0;91200;12248
30/08/13;0;86310;12236
29/08/13;0;75780;12192
28/08/13;0;80560;12236
27/08/13;0;48440;12020
26/08/13;0;57200;12148
25/08/13;0;75850;12244
24/08/13;0;81980;12248
23/08/13;0;58170;12213
22/08/13;0;99150;12244
21/08/13;0;103130;12255
20/08/13;0;94510;12241
19/08/13;0;75490;12148
18/08/13;0;100160;12232
17/08/13;0;100830;12220
16/08/13;0;101760;12220
15/08/13;0;91170;12212
14/08/13;0;55670;12192
13/08/13;0;93860;12224
12/08/13;0;100580;12220
11/08/13;0;98640;12240
10/08/13;0;101310;12244
09/08/13;0;63850;12212
08/08/13;0;62840;12105
07/08/13;0;71390;12180
06/08/13;0;98100;12204
05/08/13;0;104100;12236
04/08/13;0;98050;12224
03/08/13;0;104950;12235
02/08/13;0;108580;12241
01/08/13;0;108830;12220
31/07/13;0;111620;12240
30/07/13;0;105250;12249
29/07/13;0;52240;11503
28/07/13;0;101400;12213
27/07/13;0;95450;12230
26/07/13;0;83550;12232
25/07/13;0;103980;12236
24/07/13;0;80720;12228
23/07/13;0;93940;12240
22/07/13;0;100550;12237
21/07/13;0;110440;12255
20/07/13;0;107390;12250
19/07/13;0;112130;12225
18/07/13;0;86360;12192
17/07/13;0;101680;12218
16/07/13;0;110160;12240
15/07/13;0;109480;12224
14/07/13;0;113420;12240
13/07/13;0;82770;12232
12/07/13;0;106170;12232
11/07/13;0;112800;12247
10/07/13;0;75160;12168
09/07/13;0;105400;12240
08/07/13;0;113660;12220
07/07/13;0;98160;12215
06/07/13;0;110070;12246
05/07/13;0;116900;12236
04/07/13;0;111920;12256
03/07/13;0;74640;12164
02/07/13;0;88460;12248
01/07/13;0;115320;12220
30/06/13;0;101590;12264
29/06/13;0;83700;12048
28/06/13;0;71870;12120
27/06/13;0;90420;12184
26/06/13;0;111790;12254
25/06/13;0;80770;12256
24/06/13;0;48320;11210
23/06/13;0;92350;12244
22/06/13;0;104160;12220
21/06/13;0;111860;12232
20/06/13;0;103590;12228
19/06/13;0;100660;12239
18/06/13;0;90120;12194
17/06/13;0;111880;12220
16/06/13;0;108190;12224
15/06/13;0;108890;12248
14/06/13;0;93640;12228
13/06/13;0;119850;12256
12/06/13;0;120310;12260
11/06/13;0;99150;12247
10/06/13;0;87970;12160
09/06/13;0;58390;12144
08/06/13;0;113800;12254
07/06/13;0;103050;12252
06/06/13;0;119760;12248
05/06/13;0;108510;12240
04/06/13;0;97060;12256
03/06/13;0;93890;12260
02/06/13;0;83000;11304
01/06/13;0;78450;12212
31/05/13;0;83280;12029
30/05/13;0;63510;8688
29/05/13;0;57700;12244
28/05/13;0;75830;11402
27/05/13;0;89120;12276
26/05/13;0;95130;12256
25/05/13;0;86920;12236
24/05/13;0;28030;5898
23/05/13;0;100220;12254
22/05/13;0;101940;12272
21/05/13;0;90170;12260
20/05/13;0;91310;12172
19/05/13;0;49580;12204
18/05/13;0;82510;12260
17/05/13;0;25770;7398
16/05/13;0;12600;2801
15/05/13;0;98930;12253
14/05/13;0;103960;12256
13/05/13;0;115060;12264
12/05/13;0;93310;12276
11/05/13;0;75140;11968
10/05/13;0;20510;4596
09/05/13;0;88520;12236
08/05/13;0;98540;12252
07/05/13;0;75020;12082
06/05/13;0;57960;11774
05/05/13;0;78580;12248
04/05/13;0;109250;12256
03/05/13;0;94450;12243
02/05/13;0;69220;12256
01/05/13;0;70640;12232
30/04/13;0;45660;11398
29/04/13;0;26400;8080
28/04/13;0;69850;12190
27/04/13;0;19350;4408
26/04/13;0;55650;11204
25/04/13;0;105690;12287
24/04/13;0;106690;12272
23/04/13;0;82380;12217
22/04/13;0;34300;10732
21/04/13;0;34480;11552
20/04/13;0;8850;3041
19/04/13;0;75350;12196
18/04/13;0;94140;12256
17/04/13;0;91800;12200
16/04/13;0;88220;12240
15/04/13;0;97060;12268
14/04/13;0;92550;12237
13/04/13;0;95360;12258
12/04/13;0;28600;9069
11/04/13;0;20320;4398
10/04/13;0;75080;12280
09/04/13;0;63190;12104
08/04/13;0;31380;5673
07/04/13;0;50100;12179
06/04/13;0;57940;12088
05/04/13;0;29700;5530
04/04/13;0;48260;11852
03/04/13;0;66470;11976
02/04/13;0;78220;12094
01/04/13;0;91390;12256
31/03/13;0;46970;12248
30/03/13;0;15880;4980
29/03/13;0;26100;6354
28/03/13;0;6990;4244
